lakeID,dateSample,taxa,lengthPixels,widthPixels,magnification
EL,5/30/12,Bosmina,54.589,,4
EL,5/30/12,Bosmina,60.208,,4
EL,5/30/12,Chaoborus,400.387,45.177,0.63
EL,5/30/12,Chaoborus,398.467,29,0.63
EL,5/30/12,Chaoborus,391.623,47.043,0.63
EL,5/30/12,Chaoborus,406.037,47.518,0.63
EL,5/30/12,Chaoborus,371.184,39.623,0.63
EL,5/30/12,Chaoborus,333.274,44.045,0.63
EL,5/30/12,Chaoborus,278.699,35.468,0.63
EL,5/30/12,Chaoborus,358.075,33,0.63
EL,5/30/12,Chaoborus,327.776,34.059,0.63
EL,5/30/12,Chaoborus,278.681,49.739,0.63
EL,5/30/12,Chaoborus,300.035,27.166,0.63
EL,5/30/12,Chaoborus,318.47,35.114,0.63
EL,5/30/12,Chaoborus,375.161,25.612,0.63
EL,5/30/12,Chaoborus,236.577,37.014,0.63
EL,5/30/12,Chaoborus,286.227,36.688,0.63
EL,5/30/12,Chaoborus,377.026,39.812,0.63
EL,5/30/12,Chaoborus,298.765,45.88,0.63
EL,5/30/12,Chaoborus,359.326,35.128,0.63
EL,5/30/12,Chaoborus,294.711,34.67,0.63
EL,5/30/12,Chaoborus,273.479,43.681,0.63
EL,5/30/12,Chaoborus,293.469,39.408,0.63
EL,5/30/12,Chaoborus,216.676,38.949,0.63
EL,5/30/12,Chaoborus,441.013,32.14,0.63
EL,5/30/12,Chaoborus,307.773,51.74,0.63
EL,5/30/12,Chaoborus,273.995,34.015,0.63
EL,5/30/12,Chaoborus,397.514,34.482,0.63
EL,5/30/12,Chaoborus,316.301,41.146,0.63
EL,5/30/12,Chaoborus,318.77,34.205,0.63
EL,5/30/12,Chaoborus,280.68,43.046,0.63
EL,5/30/12,Chaoborus,292.203,25.456,0.63
EL,5/30/12,Chaoborus,342.029,44.418,0.63
EL,5/30/12,Cyclopoids,153.496,,4
EL,5/30/12,Cyclopoids,93.381,,4
EL,5/30/12,Cyclopoids,89.051,,4
EL,5/30/12,Cyclopoids,84.172,,4
EL,5/30/12,Cyclopoids,91.137,,4
EL,5/30/12,Cyclopoids,102.044,,4
EL,5/30/12,Cyclopoids,64.008,,4
EL,5/30/12,Cyclopoids,50.09,,4
EL,5/30/12,Cyclopoids,72.402,,4
EL,5/30/12,Cyclopoids,63.008,,4
EL,5/30/12,Cyclopoids,63.781,,4
EL,5/30/12,Cyclopoids,65.803,,4
EL,5/30/12,Cyclopoids,91.679,,4
EL,5/30/12,Cyclopoids,103.846,,4
EL,5/30/12,Cyclopoids,88.888,,4
EL,5/30/12,Cyclopoids,60.605,,4
EL,5/30/12,Cyclopoids,58.822,,4
EL,5/30/12,Cyclopoids,76.655,,4
EL,5/30/12,Cyclopoids,91.389,,4
EL,5/30/12,Cyclopoids,80.498,,4
EL,5/30/12,Cyclopoids,76.164,,4
EL,5/30/12,Cyclopoids,111.83,,4
EL,5/30/12,Cyclopoids,97.417,,4
EL,5/30/12,Cyclopoids,79.706,,4
EL,5/30/12,Daphnia,195.602,,3.2
EL,5/30/12,Daphnia,111.086,,3.2
EL,5/30/12,Daphnia,140.801,,3.2
EL,5/30/12,Daphnia,107.564,,3.2
EL,5/30/12,Daphnia,92.661,,3.2
EL,5/30/12,Daphnia,136.004,,3.2
EL,5/30/12,Daphnia,109.11,,3.2
EL,5/30/12,Daphnia,128.888,,3.2
EL,5/30/12,Daphnia,314.582,,3.2
EL,5/30/12,Daphnia,234.342,,3.2
EL,5/30/12,Daphnia,151.083,,3.2
EL,5/30/12,Daphnia,322.614,,3.2
EL,5/30/12,Daphnia,158.521,,3.2
EL,5/30/12,Daphnia,130.188,,3.2
EL,5/30/12,Daphnia,123.822,,3.2
EL,5/30/12,Daphnia,182.702,,3.2
EL,5/30/12,Daphnia,265.708,,3.2
EL,5/30/12,Daphnia,150.652,,3.2
EL,5/30/12,Daphnia,146.864,,3.2
EL,5/30/12,Daphnia,144.368,,3.2
EL,5/30/12,Daphnia,169.189,,3.2
EL,5/30/12,Daphnia,101.02,,3.2
EL,5/30/12,Daphnia,133.929,,3.2
EL,5/30/12,Daphnia,125.801,,3.2
EL,5/30/12,Holopedium,46.174,,3.2
EL,5/30/12,Holopedium,57.559,,3.2
EL,5/30/12,Holopedium,45.88,,3.2
EL,5/30/12,Holopedium,19.849,,3.2
EL,5/30/12,Holopedium,25.08,,3.2
EL,5/30/12,Holopedium,54.626,,3.2
EL,5/30/12,Holopedium,37.696,,3.2
EL,5/30/12,Holopedium,29.069,,3.2
EL,5/30/12,Holopedium,21,,3.2
EL,5/30/12,Holopedium,24.515,,3.2
EL,5/30/12,Holopedium,22.672,,3.2
EL,5/30/12,Holopedium,31.953,,3.2
EL,5/30/12,Holopedium,22.361,,3.2
EL,5/30/12,Holopedium,22.136,,3.2
EL,5/30/12,Holopedium,55.036,,3.2
EL,5/30/12,Holopedium,31.765,,3.2
EL,5/30/12,Holopedium,47.17,,3.2
EL,5/30/12,Holopedium,50.695,,3.2
EL,5/30/12,Holopedium,63.159,,3.2
EL,5/30/12,Holopedium,51.971,,3.2
EL,6/13/12,Chaoborus,415.433,49.578,0.63
EL,6/13/12,Chaoborus,334.027,43.278,0.63
EL,6/13/12,Chaoborus,346.605,36.878,0.63
EL,6/13/12,Chaoborus,245.948,50.931,0.63
EL,6/13/12,Chaoborus,342.745,46.325,0.63
EL,6/13/12,Chaoborus,443.686,39.459,0.63
EL,6/13/12,Chaoborus,335.764,32.062,0.63
EL,6/13/12,Chaoborus,343.487,47.802,0.63
EL,6/13/12,Chaoborus,307.876,34.059,0.63
EL,6/13/12,Chaoborus,284.646,31.064,0.63
EL,6/13/12,Chaoborus,400.507,46.098,0.63
EL,6/13/12,Chaoborus,324.824,31.78,0.63
EL,6/13/12,Chaoborus,372.796,36.056,0.63
EL,6/13/12,Chaoborus,334.608,33.615,0.63
EL,6/13/12,Chaoborus,361.381,41.881,0.63
EL,6/13/12,Chaoborus,376.773,34,0.63
EL,6/13/12,Chaoborus,354.723,39.598,0.63
EL,6/13/12,Chaoborus,393.938,44.283,0.63
EL,6/13/12,Chaoborus,364.139,40.361,0.63
EL,6/13/12,Chaoborus,395.236,38,0.63
EL,6/13/12,Chaoborus,393.435,44.721,0.63
EL,6/13/12,Chaoborus,280.305,22.204,0.63
EL,6/13/12,Chaoborus,327.107,44.553,0.63
EL,6/13/12,Cyclopoids,244.182,,3.2
EL,6/13/12,Cyclopoids,77.318,,3.2
EL,6/13/12,Cyclopoids,72.615,,3.2
EL,6/13/12,Cyclopoids,64.761,,3.2
EL,6/13/12,Cyclopoids,79.712,,3.2
EL,6/13/12,Cyclopoids,69.635,,3.2
EL,6/13/12,Cyclopoids,81.025,,3.2
EL,6/13/12,Cyclopoids,84.024,,3.2
EL,6/13/12,Cyclopoids,82.68,,3.2
EL,6/13/12,Cyclopoids,160.649,,3.2
EL,6/13/12,Cyclopoids,54.562,,3.2
EL,6/13/12,Cyclopoids,45.188,,3.2
EL,6/13/12,Cyclopoids,73.763,,3.2
EL,6/13/12,Cyclopoids,57.723,,3.2
EL,6/13/12,Cyclopoids,80.231,,3.2
EL,6/13/12,Cyclopoids,65.192,,3.2
EL,6/13/12,Cyclopoids,128.082,,3.2
EL,6/13/12,Cyclopoids,87.092,,3.2
EL,6/13/12,Cyclopoids,72.835,,3.2
EL,6/13/12,Cyclopoids,228.473,,3.2
EL,6/13/12,Cyclopoids,223.188,,3.2
EL,6/13/12,Cyclopoids,64.257,,3.2
EL,6/13/12,Cyclopoids,191.063,,3.2
EL,6/13/12,Cyclopoids,131.103,,3.2
EL,6/13/12,Cyclopoids,207.299,,3.2
EL,6/13/12,Cyclopoids,90.67,,3.2
EL,6/13/12,Daphnia,196.492,,2.5
EL,6/13/12,Daphnia,94,,2.5
EL,6/13/12,Daphnia,134.034,,2.5
EL,6/13/12,Daphnia,212.229,,2.5
EL,6/13/12,Daphnia,90.609,,2.5
EL,6/13/12,Daphnia,76.694,,2.5
EL,6/13/12,Daphnia,123.434,,2.5
