lake,date,taxa,counts,magnification
EL,5/16/12,daphnia,133,2
EL,5/16/12,cyclopoid,73,3.2
EL,5/16/12,holopedium,56,3.2
WL,5/16/12,daphnia,115,2
WL,5/16/12,cyclopoid,50,3.2
WL,5/16/12,holopedium,23,3.2
EL,5/22/12,daphnia,262,2
EL,5/22/12,cyclopoid,532,2.5
EL,5/22/12,holopedium,107,4
EL,5/22/12,chydorus,1,4
WL,5/22/12,daphnia,56,4
WL,5/22/12,cyclopoid,559,4
WL,5/22/12,holopedium,169,4
WL,5/22/12,bosmina,2,4
EL,5/30/12,daphnia,141,3.2
EL,5/30/12,cyclopoid,928,4
EL,5/30/12,holopedium,79,3.2
EL,5/30/12,bosmina,2,4
WL,5/30/12,daphnia,217,3.2
WL,5/30/12,cyclopoid,507,4
WL,5/30/12,holopedium,279,3.2
WL,6/6/12,daphnia,46,2.5
WL,6/6/12,cyclopoid,392,4
WL,6/6/12,holopedium,34,4
WL,6/6/12,bosmina,1,4
EL,6/6/12,daphnia,24,2.5
EL,6/6/12,cyclopoid,230,4
EL,6/6/12,holopedium,20,4
EL,6/13/12,daphnia,140,2.5
EL,6/13/12,cyclopoid,706,3.2
EL,6/13/12,holopedium,97,3.2
WL,6/13/12,daphnia,139,2.5
WL,6/13/12,cyclopoid,706,3.2
WL,6/13/12,holopedium,189,3.2
EL,6/20/12,daphnia,255,2.5
EL,6/20/12,cyclopoid,671,3.2
EL,6/20/12,holopedium,202,3.2
WL,6/20/12,daphnia,122,2.5
WL,6/20/12,cyclopoid,752,3.2
WL,6/20/12,holopedium,237,3.2
EL,6/27/12,daphnia,121,2
EL,6/27/12,cyclopoid,843,3.2
EL,6/27/12,holopedium,54,3.2
EL,6/27/12,bosmina,1,4
WL,6/27/12,daphnia,151,2
WL,6/27/12,cyclopoid,965,3.2
WL,6/27/12,holopedium,77,3.2
EL,7/11/12,daphnia,189
EL,7/11/12,cyclopoid,704
EL,7/11/12,bosmina,2
EL,7/11/12,holopedium,53
WL,7/11/12,daphnia,233
WL,7/11/12,cyclopoid,749
WL,7/11/12,holopedium,86
EL,7/18/12,daphnia,173
EL,7/18/12,cyclopoid,1006
EL,7/18/12,holopedium,80
WL,7/18/12,daphnia,303
WL,7/18/12,cyclopoid,661
WL,7/18/12,holopedium,40
EL,7/25/12,daphnia,350
EL,7/25/12,cyclopoid,726
EL,7/25/12,holopedium,21
WL,7/25/12,daphnia,66
WL,7/25/12,cyclopoid,675
WL,7/25/12,holopedium,32
EL,8/1/12,daphnia,118
EL,8/1/12,cyclopoid,731
EL,8/1/12,holopedium,39
WL,8/1/12,daphnia,229
WL,8/1/12,cyclopoid,897
WL,8/1/12,holopedium,40
WL,8/8/12,daphnia,292
WL,8/8/12,cyclopoid,674
WL,8/8/12,holopedium,11
EL,8/8/12,daphnia,93
EL,8/8/12,cyclopoid,534
EL,8/8/12,holopedium,47
