,lakeID,dateSample,taxa,length_mm,width_mm
1,WL,7/25/12,chaoborus,11.047,1.319
2,WL,7/25/12,chaoborus,12.531,1.02
3,WL,7/25/12,chaoborus,11.83,0.939
4,WL,7/25/12,chaoborus,11.189,1.292
5,WL,7/25/12,chaoborus,11.353,1.121
6,WL,7/25/12,chaoborus,11.806,1.25
7,WL,7/25/12,chaoborus,7.07,0.878
8,WL,7/25/12,chaoborus,10.142,1.348
9,WL,7/25/12,chaoborus,7.512,0.849
10,WL,7/25/12,chaoborus,7.697,0.64
11,WL,7/25/12,chaoborus,11.287,1.425
12,WL,7/25/12,chaoborus,10.371,1.57
13,WL,7/25/12,chaoborus,10.995,1.232
14,WL,7/25/12,chaoborus,10.569,0.904
15,WL,7/25/12,chaoborus,11.177,0.945
16,WL,7/25/12,chaoborus,11.117,1.369
17,WL,7/25/12,chaoborus,11.123,1.153
18,WL,7/25/12,chaoborus,11.63,1.115
19,WL,7/25/12,chaoborus,10.591,1.448
20,WL,7/25/12,chaoborus,12.177,1.291
21,WL,7/25/12,chaoborus,11.729,1.543
22,WL,7/25/12,chaoborus,7.51,0.732
23,WL,7/25/12,chaoborus,11.95,1.479
24,WL,7/25/12,chaoborus,11.859,1.819
25,WL,7/25/12,chaoborus,12.05,1.299
26,WL,7/25/12,cyclopoid,1.363,NA
27,WL,7/25/12,cyclopoid,1.29,NA
28,WL,7/25/12,cyclopoid,0.665,NA
29,WL,7/25/12,cyclopoid,0.73,NA
30,WL,7/25/12,cyclopoid,1.249,NA
31,WL,7/25/12,cyclopoid,1.196,NA
32,WL,7/25/12,cyclopoid,1.113,NA
33,WL,7/25/12,cyclopoid,1.167,NA
34,WL,7/25/12,cyclopoid,0.454,NA
35,WL,7/25/12,cyclopoid,1.166,NA
36,WL,7/25/12,cyclopoid,1.639,NA
37,WL,7/25/12,cyclopoid,1.41,NA
38,WL,7/25/12,cyclopoid,1.452,NA
39,WL,7/25/12,cyclopoid,1.47,NA
40,WL,7/25/12,cyclopoid,0.941,NA
41,WL,7/25/12,cyclopoid,0.804,NA
42,WL,7/25/12,cyclopoid,0.502,NA
43,WL,7/25/12,cyclopoid,1.422,NA
44,WL,7/25/12,cyclopoid,1.415,NA
45,WL,7/25/12,cyclopoid,0.863,NA
46,WL,7/25/12,cyclopoid,0.385,NA
47,WL,7/25/12,cyclopoid,0.773,NA
48,WL,7/25/12,cyclopoid,1.162,NA
49,WL,7/25/12,cyclopoid,1.18,NA
50,WL,7/25/12,cyclopoid,0.666,NA
51,WL,7/25/12,daphnia,0.781,NA
52,WL,7/25/12,daphnia,0.714,NA
53,WL,7/25/12,daphnia,0.919,NA
54,WL,7/25/12,daphnia,0.91,NA
55,WL,7/25/12,daphnia,0.694,NA
56,WL,7/25/12,daphnia,1.376,NA
57,WL,7/25/12,daphnia,0.863,NA
58,WL,7/25/12,daphnia,1.31,NA
59,WL,7/25/12,daphnia,0.738,NA
60,WL,7/25/12,daphnia,0.788,NA
61,WL,7/25/12,daphnia,0.676,NA
62,WL,7/25/12,daphnia,0.812,NA
63,WL,7/25/12,daphnia,0.895,NA
64,WL,7/25/12,daphnia,0.8,NA
65,WL,7/25/12,daphnia,0.707,NA
66,WL,7/25/12,daphnia,1.648,NA
67,WL,7/25/12,daphnia,0.876,NA
68,WL,7/25/12,daphnia,0.899,NA
69,WL,7/25/12,daphnia,0.114,NA
70,WL,7/25/12,daphnia,0.112,NA
71,WL,7/25/12,daphnia,0.143,NA
72,WL,7/25/12,daphnia,0.148,NA
73,WL,7/25/12,daphnia,1.698,NA
74,WL,7/25/12,daphnia,0.97,NA
75,WL,7/25/12,daphnia,1.093,NA
76,WL,7/25/12,holopedium,0.384,NA
77,WL,7/25/12,holopedium,0.298,NA
78,WL,7/25/12,holopedium,0.3,NA
79,WL,7/25/12,holopedium,0.188,NA
80,WL,7/25/12,holopedium,0.307,NA
81,WL,7/25/12,holopedium,0.24,NA
82,WL,7/25/12,holopedium,0.439,NA
83,WL,7/25/12,holopedium,0.231,NA
84,WL,7/25/12,holopedium,0.223,NA
85,WL,7/25/12,holopedium,0.326,NA
86,WL,7/25/12,holopedium,0.308,NA
87,WL,7/25/12,holopedium,0.294,NA
88,WL,7/25/12,holopedium,0.284,NA
89,WL,7/25/12,holopedium,0.273,NA
90,WL,7/25/12,holopedium,0.094,NA
91,WL,7/25/12,holopedium,0.226,NA
92,WL,7/25/12,holopedium,0.186,NA
93,WL,7/25/12,holopedium,0.172,NA
94,WL,7/25/12,holopedium,0.255,NA
95,WL,7/25/12,holopedium,0.181,NA
96,WL,7/25/12,holopedium,0.19,NA
97,WL,7/25/12,holopedium,0.222,NA
98,EL,7/25/12,chaoborus,11.922,0.816
99,EL,7/25/12,chaoborus,6.519,0.378
100,EL,7/25/12,chaoborus,9.134,0.621
101,EL,7/25/12,chaoborus,9.688,0.829
102,EL,7/25/12,chaoborus,7.3,0.634
103,EL,7/25/12,chaoborus,6.618,0.598
104,EL,7/25/12,chaoborus,10.248,0.66
105,EL,7/25/12,chaoborus,6.805,0.386
106,EL,7/25/12,chaoborus,7.753,0.715
107,EL,7/25/12,chaoborus,4.234,0.31
108,EL,7/25/12,chaoborus,9.525,0.561
109,EL,7/25/12,chaoborus,10.338,0.673
110,EL,7/25/12,chaoborus,9.65,0.704
111,EL,7/25/12,chaoborus,8.546,0.621
112,EL,7/25/12,chaoborus,10.068,0.619
113,EL,7/25/12,chaoborus,8.337,0.697
114,EL,7/25/12,chaoborus,0.436,0.032
115,EL,7/25/12,chaoborus,0.441,0.03
116,EL,7/25/12,chaoborus,0.471,0.052
117,EL,7/25/12,chaoborus,12.501,0.895
118,EL,7/25/12,chaoborus,12.473,0.728
119,EL,7/25/12,chaoborus,11.613,0.796
120,EL,7/25/12,chaoborus,8.754,0.436
121,EL,7/25/12,chaoborus,10.571,0.899
122,EL,7/25/12,chaoborus,12.787,0.691
123,EL,7/25/12,cyclopoid,0.993,NA
124,EL,7/25/12,cyclopoid,0.789,NA
125,EL,7/25/12,cyclopoid,0.646,NA
126,EL,7/25/12,cyclopoid,0.543,NA
127,EL,7/25/12,cyclopoid,0.455,NA
128,EL,7/25/12,cyclopoid,0.767,NA
129,EL,7/25/12,cyclopoid,0.706,NA
130,EL,7/25/12,cyclopoid,0.898,NA
131,EL,7/25/12,cyclopoid,0.634,NA
132,EL,7/25/12,cyclopoid,0.325,NA
133,EL,7/25/12,cyclopoid,0.489,NA
134,EL,7/25/12,cyclopoid,0.763,NA
135,EL,7/25/12,cyclopoid,1.306,NA
136,EL,7/25/12,cyclopoid,0.33,NA
137,EL,7/25/12,cyclopoid,0.549,NA
138,EL,7/25/12,cyclopoid,0.9,NA
139,EL,7/25/12,cyclopoid,1.222,NA
140,EL,7/25/12,cyclopoid,0.507,NA
141,EL,7/25/12,cyclopoid,0.96,NA
142,EL,7/25/12,cyclopoid,1.299,NA
143,EL,7/25/12,cyclopoid,0.329,NA
144,EL,7/25/12,cyclopoid,1.092,NA
145,EL,7/25/12,cyclopoid,0.332,NA
146,EL,7/25/12,cyclopoid,0.304,NA
147,EL,7/25/12,cyclopoid,0.778,NA
148,EL,7/25/12,daphnia,0.913,NA
149,EL,7/25/12,daphnia,0.788,NA
150,EL,7/25/12,daphnia,0.726,NA
151,EL,7/25/12,daphnia,0.584,NA
152,EL,7/25/12,daphnia,1.014,NA
153,EL,7/25/12,daphnia,0.789,NA
154,EL,7/25/12,daphnia,1.132,NA
155,EL,7/25/12,daphnia,1.544,NA
156,EL,7/25/12,daphnia,0.942,NA
157,EL,7/25/12,daphnia,0.961,NA
158,EL,7/25/12,daphnia,0.586,NA
159,EL,7/25/12,daphnia,0.805,NA
160,EL,7/25/12,daphnia,1.213,NA
161,EL,7/25/12,daphnia,0.53,NA
162,EL,7/25/12,daphnia,1.081,NA
163,EL,7/25/12,daphnia,0.97,NA
164,EL,7/25/12,daphnia,0.888,NA
165,EL,7/25/12,daphnia,0.642,NA
166,EL,7/25/12,daphnia,1,NA
167,EL,7/25/12,daphnia,0.572,NA
168,EL,7/25/12,daphnia,0.909,NA
169,EL,7/25/12,daphnia,0.569,NA
170,EL,7/25/12,daphnia,0.797,NA
171,EL,7/25/12,daphnia,1.259,NA
172,EL,7/25/12,daphnia,0.996,NA
173,EL,7/25/12,holopedium,0.3,NA
174,EL,7/25/12,holopedium,0.176,NA
175,EL,8/1/12,chaoborus,5.971,1.54
176,EL,8/1/12,chaoborus,5.87,1.635
177,EL,8/1/12,chaoborus,4.774,1.474
178,EL,8/1/12,chaoborus,12.029,0.705
179,EL,8/1/12,chaoborus,12.194,0.727
180,EL,8/1/12,chaoborus,11.604,0.616
181,EL,8/1/12,chaoborus,12.373,0.69
182,EL,8/1/12,chaoborus,11.636,0.707
183,EL,8/1/12,chaoborus,12.177,0.732
184,EL,8/1/12,chaoborus,11.991,0.712
185,EL,8/1/12,chaoborus,11.574,0.583
186,EL,8/1/12,chaoborus,12.081,0.69
187,EL,8/1/12,chaoborus,10.881,0.66
188,EL,8/1/12,chaoborus,8.975,0.529
189,EL,8/1/12,chaoborus,11.478,0.731
190,EL,8/1/12,chaoborus,12.149,0.664
191,EL,8/1/12,chaoborus,12.404,0.583
192,EL,8/1/12,chaoborus,10.909,0.573
193,EL,8/1/12,chaoborus,9.466,0.316
194,EL,8/1/12,chaoborus,8.375,0.622
195,EL,8/1/12,chaoborus,7.828,0.563
196,EL,8/1/12,chaoborus,6.827,0.53
197,EL,8/1/12,chaoborus,12.724,0.786
198,EL,8/1/12,chaoborus,10.519,0.632
199,EL,8/1/12,chaoborus,9.765,0.917
200,EL,8/1/12,cyclopoid,0.298,NA
201,EL,8/1/12,cyclopoid,0.123,NA
202,EL,8/1/12,cyclopoid,0.296,NA
203,EL,8/1/12,cyclopoid,0.159,NA
204,EL,8/1/12,cyclopoid,0.362,NA
205,EL,8/1/12,cyclopoid,0.199,NA
206,EL,8/1/12,cyclopoid,0.555,NA
207,EL,8/1/12,cyclopoid,0.43,NA
208,EL,8/1/12,cyclopoid,0.194,NA
209,EL,8/1/12,cyclopoid,0.351,NA
210,EL,8/1/12,cyclopoid,0.237,NA
211,EL,8/1/12,cyclopoid,0.711,NA
212,EL,8/1/12,cyclopoid,0.177,NA
213,EL,8/1/12,cyclopoid,0.268,NA
214,EL,8/1/12,cyclopoid,0.275,NA
215,EL,8/1/12,cyclopoid,0.325,NA
216,EL,8/1/12,cyclopoid,0.152,NA
217,EL,8/1/12,cyclopoid,0.158,NA
218,EL,8/1/12,cyclopoid,0.136,NA
219,EL,8/1/12,cyclopoid,0.266,NA
220,EL,8/1/12,cyclopoid,0.22,NA
221,EL,8/1/12,cyclopoid,0.166,NA
222,EL,8/1/12,cyclopoid,0.181,NA
223,EL,8/1/12,daphnia,1.431,NA
224,EL,8/1/12,daphnia,0.865,NA
225,EL,8/1/12,daphnia,0.221,NA
226,EL,8/1/12,daphnia,0.672,NA
227,EL,8/1/12,daphnia,0.533,NA
228,EL,8/1/12,daphnia,0.547,NA
229,EL,8/1/12,daphnia,0.85,NA
230,EL,8/1/12,daphnia,0.822,NA
231,EL,8/1/12,daphnia,0.735,NA
232,EL,8/1/12,daphnia,0.968,NA
233,EL,8/1/12,daphnia,0.832,NA
234,EL,8/1/12,daphnia,0.643,NA
235,EL,8/1/12,daphnia,0.573,NA
236,EL,8/1/12,daphnia,0.593,NA
237,EL,8/1/12,daphnia,0.749,NA
238,EL,8/1/12,daphnia,0.492,NA
239,EL,8/1/12,daphnia,0.686,NA
240,EL,8/1/12,daphnia,0.792,NA
241,EL,8/1/12,daphnia,0.463,NA
242,EL,8/1/12,daphnia,0.374,NA
243,EL,8/1/12,daphnia,0.299,NA
244,EL,8/1/12,daphnia,1.258,NA
245,EL,8/1/12,daphnia,0.404,NA
246,EL,8/1/12,daphnia,0.898,NA
247,EL,8/1/12,holopedium,0.316,NA
248,EL,8/1/12,holopedium,0.367,NA
249,EL,8/1/12,holopedium,0.197,NA
250,EL,8/1/12,holopedium,0.069,NA
251,EL,8/1/12,holopedium,0.124,NA
252,EL,8/1/12,holopedium,0.255,NA
253,WL,8/1/12,chaoborus,10.982,0.855
254,WL,8/1/12,chaoborus,12.049,0.729
255,WL,8/1/12,chaoborus,12.417,0.712
256,WL,8/1/12,chaoborus,11.094,0.851
257,WL,8/1/12,chaoborus,11.666,0.812
258,WL,8/1/12,chaoborus,11.005,0.872
259,WL,8/1/12,chaoborus,6.644,0.431
260,WL,8/1/12,chaoborus,10.845,0.866
261,WL,8/1/12,chaoborus,9.771,0.869
262,WL,8/1/12,chaoborus,10.436,0.987
263,WL,8/1/12,chaoborus,10.432,0.985
264,WL,8/1/12,chaoborus,5.618,0.261
265,WL,8/1/12,chaoborus,4.742,0.443
266,WL,8/1/12,chaoborus,11.586,1.313
267,WL,8/1/12,chaoborus,11.081,0.754
268,WL,8/1/12,chaoborus,12.357,0.811
269,WL,8/1/12,chaoborus,11.971,0.664
270,WL,8/1/12,chaoborus,10.323,0.95
271,WL,8/1/12,chaoborus,10.095,0.795
272,WL,8/1/12,chaoborus,5.524,0.522
273,WL,8/1/12,chaoborus,10.106,0.811
274,WL,8/1/12,chaoborus,6.903,0.388
275,WL,8/1/12,chaoborus,8.936,0.699
276,WL,8/1/12,chaoborus,12.047,0.89
277,WL,8/1/12,chaoborus,11.691,0.895
278,WL,8/1/12,cyclopoid,0.907,NA
279,WL,8/1/12,cyclopoid,0.783,NA
280,WL,8/1/12,cyclopoid,0.492,NA
281,WL,8/1/12,cyclopoid,0.481,NA
282,WL,8/1/12,cyclopoid,0.379,NA
283,WL,8/1/12,cyclopoid,0.379,NA
284,WL,8/1/12,cyclopoid,0.84,NA
285,WL,8/1/12,cyclopoid,0.661,NA
286,WL,8/1/12,cyclopoid,0.324,NA
287,WL,8/1/12,cyclopoid,0.312,NA
288,WL,8/1/12,cyclopoid,0.527,NA
289,WL,8/1/12,cyclopoid,0.48,NA
290,WL,8/1/12,cyclopoid,0.526,NA
291,WL,8/1/12,cyclopoid,0.448,NA
292,WL,8/1/12,cyclopoid,0.28,NA
293,WL,8/1/12,cyclopoid,0.975,NA
294,WL,8/1/12,cyclopoid,0.251,NA
295,WL,8/1/12,cyclopoid,0.486,NA
296,WL,8/1/12,cyclopoid,1.165,NA
297,WL,8/1/12,cyclopoid,0.143,NA
298,WL,8/1/12,cyclopoid,0.357,NA
299,WL,8/1/12,cyclopoid,0.488,NA
300,WL,8/1/12,cyclopoid,1.257,NA
301,WL,8/1/12,cyclopoid,0.435,NA
302,WL,8/1/12,cyclopoid,0.59,NA
303,WL,8/1/12,daphnia,0.661,NA
304,WL,8/1/12,daphnia,0.538,NA
305,WL,8/1/12,daphnia,0.727,NA
306,WL,8/1/12,daphnia,1.001,NA
307,WL,8/1/12,daphnia,0.844,NA
308,WL,8/1/12,daphnia,0.472,NA
309,WL,8/1/12,daphnia,0.663,NA
310,WL,8/1/12,daphnia,1.595,NA
311,WL,8/1/12,daphnia,0.777,NA
312,WL,8/1/12,daphnia,1.62,NA
313,WL,8/1/12,daphnia,1.015,NA
314,WL,8/1/12,daphnia,1.327,NA
315,WL,8/1/12,daphnia,1.183,NA
316,WL,8/1/12,daphnia,1.426,NA
317,WL,8/1/12,daphnia,0.645,NA
318,WL,8/1/12,daphnia,1.149,NA
319,WL,8/1/12,daphnia,0.846,NA
320,WL,8/1/12,daphnia,1.055,NA
321,WL,8/1/12,daphnia,1.594,NA
322,WL,8/1/12,daphnia,1.197,NA
323,WL,8/1/12,daphnia,0.898,NA
324,WL,8/1/12,daphnia,1.381,NA
325,WL,8/1/12,daphnia,0.956,NA
326,WL,8/1/12,daphnia,0.664,NA
327,WL,8/1/12,daphnia,0.558,NA
328,WL,8/1/12,holopedium,0.104,NA
329,WL,8/1/12,holopedium,0.102,NA
330,WL,8/1/12,holopedium,0.103,NA
331,WL,8/1/12,holopedium,0.465,NA
332,WL,8/1/12,holopedium,0.251,NA
333,WL,8/1/12,holopedium,0.1,NA
334,WL,8/1/12,holopedium,0.149,NA
335,WL,8/1/12,holopedium,0.094,NA
336,EL,8/8/12,cyclopoid,1.168,NA
337,EL,8/8/12,cyclopoid,0.427,NA
338,EL,8/8/12,cyclopoid,0.44,NA
339,EL,8/8/12,cyclopoid,0.471,NA
340,EL,8/8/12,cyclopoid,1.262,NA
341,EL,8/8/12,cyclopoid,0.454,NA
342,EL,8/8/12,cyclopoid,1.155,NA
343,EL,8/8/12,cyclopoid,0.381,NA
344,EL,8/8/12,cyclopoid,0.328,NA
345,EL,8/8/12,cyclopoid,1.308,NA
346,EL,8/8/12,cyclopoid,0.499,NA
347,EL,8/8/12,cyclopoid,1.252,NA
348,EL,8/8/12,cyclopoid,0.661,NA
349,EL,8/8/12,cyclopoid,0.329,NA
350,EL,8/8/12,cyclopoid,1.2,NA
351,EL,8/8/12,cyclopoid,1.175,NA
352,EL,8/8/12,cyclopoid,0.48,NA
353,EL,8/8/12,cyclopoid,0.928,NA
354,EL,8/8/12,cyclopoid,0.31,NA
355,EL,8/8/12,cyclopoid,1.333,NA
356,EL,8/8/12,cyclopoid,0.397,NA
357,EL,8/8/12,cyclopoid,0.893,NA
358,EL,8/8/12,cyclopoid,0.906,NA
359,EL,8/8/12,cyclopoid,0.405,NA
360,EL,8/8/12,cyclopoid,0.489,NA
361,EL,8/8/12,daphnia,1.537,NA
362,EL,8/8/12,daphnia,1.69,NA
363,EL,8/8/12,daphnia,1.593,NA
364,EL,8/8/12,daphnia,1.016,NA
365,EL,8/8/12,daphnia,1.549,NA
366,EL,8/8/12,daphnia,0.955,NA
367,EL,8/8/12,daphnia,0.955,NA
368,EL,8/8/12,daphnia,1.59,NA
369,EL,8/8/12,daphnia,1.488,NA
370,EL,8/8/12,daphnia,0.97,NA
371,EL,8/8/12,daphnia,1.154,NA
372,EL,8/8/12,daphnia,0.688,NA
373,EL,8/8/12,daphnia,0.992,NA
374,EL,8/8/12,daphnia,0.904,NA
375,EL,8/8/12,daphnia,0.842,NA
376,EL,8/8/12,daphnia,0.841,NA
377,EL,8/8/12,daphnia,1.163,NA
378,EL,8/8/12,daphnia,1.185,NA
379,EL,8/8/12,daphnia,0.904,NA
380,EL,8/8/12,daphnia,0.771,NA
381,EL,8/8/12,daphnia,1.187,NA
382,EL,8/8/12,daphnia,0.92,NA
383,EL,8/8/12,daphnia,1.035,NA
384,EL,8/8/12,holopedium,0.337,NA
385,EL,8/8/12,holopedium,0.123,NA
386,EL,8/8/12,holopedium,0.21,NA
387,EL,8/8/12,holopedium,0.301,NA
388,EL,8/8/12,holopedium,0.459,NA
389,EL,8/8/12,holopedium,0.232,NA
390,EL,8/8/12,holopedium,0.292,NA
391,WL,7/18/12,bosmina,0.219,NA
392,WL,7/18/12,cyclopoid,0.533,NA
393,WL,7/18/12,cyclopoid,0.894,NA
394,WL,7/18/12,cyclopoid,0.444,NA
395,WL,7/18/12,cyclopoid,1.448,NA
396,WL,7/18/12,cyclopoid,0.466,NA
397,WL,7/18/12,cyclopoid,0.477,NA
398,WL,7/18/12,cyclopoid,0.492,NA
399,WL,7/18/12,cyclopoid,0.483,NA
400,WL,7/18/12,cyclopoid,1.304,NA
401,WL,7/18/12,cyclopoid,0.79,NA
402,WL,7/18/12,cyclopoid,0.4,NA
403,WL,7/18/12,cyclopoid,1.517,NA
404,WL,7/18/12,cyclopoid,0.505,NA
405,WL,7/18/12,cyclopoid,0.46,NA
406,WL,7/18/12,cyclopoid,0.858,NA
407,WL,7/18/12,cyclopoid,0.718,NA
408,WL,7/18/12,cyclopoid,0.495,NA
409,WL,7/18/12,cyclopoid,0.521,NA
410,WL,7/18/12,cyclopoid,0.579,NA
411,WL,7/18/12,cyclopoid,0.503,NA
412,WL,7/18/12,cyclopoid,0.479,NA
413,WL,7/18/12,cyclopoid,0.553,NA
414,WL,7/18/12,cyclopoid,0.445,NA
415,WL,7/18/12,cyclopoid,0.996,NA
416,WL,7/18/12,cyclopoid,0.496,NA
