Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),chaob counts
Z88,16,5/24/13,5/30/13,11:30,HB,Deephole,3,3.5,0
Z89,16,5/24/13,5/30/13,11:30,HB,Deephole,4,4.5,5
Z87,16,5/24/13,5/30/13,11:30,HB,Deephole,2,2.5,0
Z80,16,5/23/13,5/29/13,23:30,HB,Deephole,1,1.5,72
Z81,16,5/23/13,5/29/13,23:30,HB,Deephole,2,2.5,50
Z90,16,5/24/13,5/30/13,11:30,HB,Deephole,5,5.5,2
Z73,16,5/23/13,5/29/13,11:00,RB,Deephole,1,1.5,1
Z79,16,5/23/13,5/29/13,23:30,HB,Deephole,0,0.5,2
Z82,16,5/23/13,5/29/13,23:30,HB,Deephole,3,3.5,22
Z70,16,5/22/12,5/28/13,23:00,RB,Deephole,4,4.5,16
Z71,16,5/22/13,5/28/13,23:00,RB,Deephole,5,5.5,9
Z83,16,5/23/13,5/28/13,23:30,HB,Deephole,4,4.5,12
Z54,16,5/21/13,5/27/13,23:30,WL,Deephole,7.5,8,6
Z53,16,5/21/13,5/27/13,23:30,WL,Deephole,6,6.5,8
Z63,16,5/22/13,5/27/13,11:00,WL,Deephole,9,9.5,4
Z60,16,5/22/13,5/24/13,11:00,WL,Deephole,4.5,5,21
Z49,16,5/21/13,5/24/13,23:30,WL,Deephole,0,0.5,0
Z51,16,5/21/13,5/27/13,23:30,WL,Deephole,3,3.5,8
Z44,16,5/21/13,5/24/13,11:00,BR,Deephole,0.5,1,1
Z52,16,5/21/13,5/24/13,23:30,WL,Deephole,4.5,5,11
Z50,16,5/21/13,5/24/13,23:30,WL,Deephole,1.5,2,14
Z108,16,5/28/13,6/6/13,23:00,DW,Deephole,0,0.5,5
Z112,16,5/28/13,6/6/13,23:00,DW,Deephole,4,4.5,10
Z118,16,5/29/13,6/7/13,11:30,DW,Deephole,4,4.5,8
Z119,16,5/28/13,6/6/13,23:00,DW,Deephole,5,5.5,3
Z113,16,5/28/13,6/6/13,,DW,Deephole,5,5.5,2
Z132,16,5/28/13,6/6/13,11:00,CB,Deephole,3,3.5,3
