lakeID,replicateNum,dateSample,taxa,length.mm,width.chaoborus,sampleNum
EL,1,5/15/13,calanoid,1.136,,Z17
EL,1,5/15/13,chaoborus,8.691,0.817,Z17
EL,1,5/15/13,chaoborus,11.245,1.597,Z17
EL,1,5/15/13,chaoborus,8.375,0.883,Z17
EL,1,5/15/13,chaoborus,8.116,0.661,Z17
EL,1,5/15/13,chaoborus,9.486,1.459,Z17
EL,1,5/15/13,chaoborus,8.437,0.717,Z17
EL,1,5/15/13,chaoborus,14.909,0.731,Z17
EL,1,5/15/13,chaoborus,7.625,0.693,Z17
EL,1,5/15/13,chaoborus,10.219,0.786,Z17
EL,1,5/15/13,chaoborus,8.887,0.635,Z17
EL,1,5/15/13,chaoborus,7.364,1.052,Z17
EL,1,5/15/13,chaoborus,7.826,0.608,Z17
EL,1,5/15/13,chaoborus,10.695,0.532,Z17
EL,1,5/15/13,chaoborus,7.288,0.674,Z17
EL,1,5/15/13,chaoborus,6.404,0.722,Z17
EL,1,5/15/13,chaoborus,8.174,0.674,Z17
EL,1,5/15/13,chaoborus,5.77,0.785,Z17
EL,1,5/15/13,chaoborus,6.067,0.596,Z17
EL,1,5/15/13,chaoborus,8.242,0.892,Z17
EL,1,5/15/13,chaoborus,11.763,1.112,Z17
EL,1,5/15/13,chaoborus,10.86,0.734,Z17
EL,1,5/15/13,chaoborus,6.946,0.49,Z17
EL,1,5/15/13,chaoborus,7.079,0.79,Z17
EL,1,5/15/13,chaoborus,7.681,0.674,Z17
EL,1,5/15/13,cyclopoid,0.557,,Z17
EL,1,5/15/13,cyclopoid,0.521,,Z17
EL,1,5/15/13,cyclopoid,0.521,,Z17
EL,1,5/15/13,cyclopoid,0.529,,Z17
EL,1,5/15/13,cyclopoid,0.532,,Z17
EL,1,5/15/13,cyclopoid,0.555,,Z17
EL,1,5/15/13,cyclopoid,0.549,,Z17
EL,1,5/15/13,cyclopoid,0.464,,Z17
EL,1,5/15/13,cyclopoid,0.757,,Z17
EL,1,5/15/13,cyclopoid,0.529,,Z17
EL,1,5/15/13,cyclopoid,0.566,,Z17
EL,1,5/15/13,cyclopoid,0.49,,Z17
EL,1,5/15/13,cyclopoid,0.451,,Z17
EL,1,5/15/13,cyclopoid,0.489,,Z17
EL,1,5/15/13,cyclopoid,0.445,,Z17
EL,1,5/15/13,cyclopoid,0.513,,Z17
EL,1,5/15/13,cyclopoid,0.547,,Z17
EL,1,5/15/13,cyclopoid,0.475,,Z17
EL,1,5/15/13,cyclopoid,0.84,,Z17
EL,1,5/15/13,cyclopoid,0.597,,Z17
EL,1,5/15/13,cyclopoid,0.689,,Z17
EL,1,5/15/13,cyclopoid,0.534,,Z17
EL,1,5/15/13,cyclopoid,0.718,,Z17
EL,1,5/15/13,cyclopoid,0.608,,Z17
EL,1,5/15/13,cyclopoid,0.513,,Z17
EL,1,5/15/13,cyclopoid,0.596,,Z17
EL,1,5/15/13,daphnia,0.552,,Z17
EL,1,5/15/13,daphnia,0.655,,Z17
EL,1,5/15/13,daphnia,0.778,,Z17
EL,1,5/15/13,daphnia,0.594,,Z17
EL,1,5/15/13,daphnia,0.553,,Z17
EL,1,5/15/13,daphnia,0.605,,Z17
EL,1,5/15/13,daphnia,0.652,,Z17
EL,1,5/15/13,holopedium,0.147,,Z17
WL,1,5/15/13,chaoborus,12.421,1.267,Z14
WL,1,5/15/13,chaoborus,10.96,1.07,Z14
WL,1,5/15/13,chaoborus,11.989,1.029,Z14
WL,1,5/15/13,chaoborus,10.557,0.876,Z14
WL,1,5/15/13,chaoborus,10.432,0.806,Z14
WL,1,5/15/13,chaoborus,9.953,0.889,Z14
WL,1,5/15/13,chaoborus,11.31,1.065,Z14
