Zoop ID,Project ID,Date,Time,LakeID,Site,tow type,Depth Top (m),Depth Bot (m),Comments
Z1,16,5/14/13,8:30,CR,Deephole,vertical,0,5,
Z2,16,5/14/13,8:30,CR,Deephole,schindler,0,0.5,
Z3,16,5/14/13,8:30,CR,Deephole,schindler,1.5,2,
Z4,16,5/14/13,8:30,CR,Deephole,schindler,3,3.5,
Z5,16,5/14/13,8:30,CR,Deephole,schindler,4.5,5,
Z6,16,5/14/13,8:30,CR,Deephole,schindler,6,6.5,
Z7,16,5/14/13,8:30,CR,Deephole,schindler,7,7.5,
Z8,16,5/15/13,8:30,WL,Deephole,schindler,0,0.5,
Z9,16,5/15/13,8:30,WL,Deephole,schindler,2,2.5,
Z10,16,5/15/13,8:30,WL,Deephole,schindler,4,4.5,
Z11,16,5/15/13,8:30,WL,Deephole,schindler,6,6.5,
Z12,16,5/15/13,8:30,WL,Deephole,schindler,8,8.5,
Z13,16,5/15/13,8:30,WL,Deephole,schindler,10,10.5,
Z14,3,5/15/13,8:30,WL,Deephole,vertical,0,10,
Z15,3,5/15/13,8:30,WL,Deephole,vertical,0,10,
Z16,3,5/15/13,8:30,WL,Deephole,vertical,0,10,
Z17,3,5/15/13,9:30,EL,Deephole,vertical,0,10,
Z18,3,5/15/13,9:30,EL,Deephole,vertical,0,10,
Z19,3,5/15/13,9:30,EL,Deephole,vertical,0,10,
Z20,16,5/19/13,23:00,BA,Deephole,schindler,0,0.5,
Z21,16,5/19/13,23:00,BA,Deephole,schindler,1,1.5,
Z22,16,5/19/13,23:00,BA,Deephole,schindler,2,2.5,
Z23,16,5/19/13,23:00,BA,Deephole,schindler,3,3.5,
Z24,16,5/19/13,23:00,BA,Deephole,schindler,4,4.5,
Z25,16,5/19/13,23:00,BA,Deephole,schindler,5,5.5,
Z26,16,5/19/13,23:00,BA,Deephole,schindler,6,6.5,
Z27,16,5/20/13,11:00,BA,Deephole,schindler,0,0.5,
Z28,16,5/20/13,11:00,BA,Deephole,schindler,1,1.5,
Z29,16,5/20/13,11:00,BA,Deephole,schindler,2,2.5,
Z30,16,5/20/13,11:00,BA,Deephole,schindler,3,3.5,
Z31,16,5/20/13,11:00,BA,Deephole,schindler,4,4.5,
Z32,16,5/20/13,11:00,BA,Deephole,schindler,5,5.5,
Z33,16,5/20/13,11:00,BA,Deephole,schindler,6,6.5,
Z34,16,5/20/13,11:00,BA,Deephole,schindler,7,7.5,
Z35,16,5/20/13,11:00,BA,Deephole,vertical,0,7,
Z36,16,5/20/13,23:00,BR,Deephole,schindler,0,0.5,
Z37,16,5/20/13,23:00,BR,Deephole,schindler,0.5,1,
Z38,16,5/20/13,23:00,BR,Deephole,schindler,1,1.5,
Z39,16,5/20/13,23:00,BR,Deephole,schindler,1.5,2,
Z40,16,5/20/13,23:00,BR,Deephole,schindler,2.5,3,
Z41,16,5/20/13,23:00,BR,Deephole,schindler,3.5,4,
Z42,16,5/21/13,13:00,BR,Deephole,vertical,0,2.5,
Z43,16,5/21/13,13:00,BR,Deephole,schindler,0,0.5,
Z44,16,5/21/13,13:00,BR,Deephole,schindler,0.5,1,
Z45,16,5/21/13,13:00,BR,Deephole,schindler,1,1.5,
Z46,16,5/21/13,13:00,BR,Deephole,schindler,1.5,2,
Z47,16,5/21/13,13:00,BR,Deephole,schindler,2.5,3,
Z48,16,5/21/13,13:00,BR,Deephole,schindler,3.5,4,
Z49,16,5/21/13,23:30,WL,Deephole,schindler,0,0.5,
Z50,16,5/21/13,23:30,WL,Deephole,schindler,1.5,2,
Z51,16,5/21/13,23:30,WL,Deephole,schindler,3,3.5,
Z52,16,5/21/13,23:30,WL,Deephole,schindler,4.5,5,
Z53,16,5/21/13,23:30,WL,Deephole,schindler,6,6.5,
Z54,16,5/21/13,23:30,WL,Deephole,schindler,7.5,8,
Z55,3,5/22/13,11:00,EL,Deephole,vertical,0,10,
Z56,3,5/22/13,11:00,WL,Deephole,vertical,0,10,
Z57,16,5/22/13,11:00,WL,Deephole,schindler,0,0.5,
Z58,16,5/22/13,11:00,WL,Deephole,schindler,1.5,2,
Z59,16,5/22/13,11:00,WL,Deephole,schindler,3,3.5,
Z60,16,5/22/13,11:00,WL,Deephole,schindler,4.5,5,
Z61,16,5/22/13,11:00,WL,Deephole,schindler,6,6.5,
Z62,16,5/22/13,11:00,WL,Deephole,schindler,7.5,8,
Z63,16,5/22/13,11:00,WL,Deephole,schindler,9,9.5,
Z64,16,5/22/13,11:00,WL,Deephole,schindler,10.5,11,
Z65,,,,,,,,,
Z66,16,5/22/13,23:00,RB,Deephole,schindler,0,0.5,
Z67,16,5/22/13,23:00,RB,Deephole,schindler,1,1.5,
Z68,16,5/22/13,23:00,RB,Deephole,schindler,2,2.5,
Z69,16,5/22/13,23:00,RB,Deephole,schindler,3,3.5,
Z70,16,5/22/13,23:00,RB,Deephole,schindler,4,4.5,
Z71,16,5/22/13,23:00,RB,Deephole,schindler,5,5.5,
Z72,16,5/23/13,11:30,RB,Deephole,schindler,0,0.5,
Z73,16,5/23/13,11:30,RB,Deephole,schindler,1,1.5,
Z74,16,5/23/13,11:30,RB,Deephole,schindler,2,2.5,
Z75,16,5/23/13,11:30,RB,Deephole,schindler,3,3.5,
Z76,16,5/23/13,11:30,RB,Deephole,schindler,4,4.5,
Z77,16,5/23/13,11:30,RB,Deephole,schindler,5,5.5,
Z78,16,5/23/13,11:30,RB,Deephole,vertical,0,3,
Z79,16,5/23/13,23:30,HB,Deephole,schindler,0,0.5,
Z80,16,5/23/13,23:30,HB,Deephole,schindler,1,1.5,
Z81,16,5/23/13,23:30,HB,Deephole,schindler,2,2.5,
Z82,16,5/23/13,23:30,HB,Deephole,schindler,3,3.5,
Z83,16,5/23/13,23:30,HB,Deephole,schindler,4,4.5,
Z84,16,5/24/13,11:30,HB,Deephole,vertical,0,4.5,
Z85,16,5/24/13,11:30,HB,Deephole,schindler,0,0.5,
Z86,16,5/24/13,11:30,HB,Deephole,schindler,1,1.5,
Z87,16,5/24/13,11:30,HB,Deephole,schindler,2,2.5,
Z88,16,5/24/13,11:30,HB,Deephole,schindler,3,3.5,
Z89,16,5/24/13,11:30,HB,Deephole,schindler,4,4.5,
Z90,16,5/24/13,11:30,HB,Deephole,schindler,5,5.5,
Z91,16,5/27/13,23:00,TU,Deephole,schindler,0,0.5,
Z92,16,5/27/13,23:00,TU,Deephole,schindler,1.5,2,
Z93,16,5/27/13,23:00,TU,Deephole,schindler,3,3.5,
Z94,16,5/27/13,23:00,TU,Deephole,schindler,4.5,5,
Z95,16,5/27/13,23:00,TU,Deephole,schindler,6,6.5,
Z96,16,5/27/13,23:00,TU,Deephole,schindler,7.5,8,
Z97,16,5/27/13,23:00,TU,Deephole,schindler,9,9.5,
Z98,16,5/27/13,23:00,TU,Deephole,schindler,10.5,11,
Z99,16,5/28/13,12:30,TU,Deephole,vertical,0,10,
Z100,16,5/28/13,12:30,TU,Deephole,schindler,0,0.5,
Z101,16,5/28/13,12:30,TU,Deephole,schindler,1.5,2,
Z102,16,5/28/13,12:30,TU,Deephole,schindler,3,3.5,
Z103,16,5/28/13,12:30,TU,Deephole,schindler,4.5,5,
Z104,16,5/28/13,12:30,TU,Deephole,schindler,6,6.5,
