Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),weight empty jar,weight jar full,weight subsample
Z88,16,5/24/13,5/30/13,11:30,HB,Deephole,3,3.5,20.2697,28.5311,8.2614
Z89,16,5/24/13,5/30/13,11:30,HB,Deephole,4,4.5,19.9361,26.9861,7.05
Z87,16,5/24/13,5/30/13,11:30,HB,Deephole,2,2.5,19.8513,28.6985,8.8472
Z80,16,5/23/13,5/29/13,23:30,HB,Deephole,1,1.5,20.281,33.018,12.737
Z81,16,5/23/13,5/29/13,23:30,HB,Deephole,2,2.5,20.3832,33.7652,13.382
Z90,16,5/24/13,5/30/13,11:30,HB,Deephole,5,5.5,20.0471,29.9679,9.9208
Z99,16,5/28/13,5/28/13,12:00,TU,Deephole,0,10,12.7195,24.877,6.5883
Z77,16,5/23/13,5/29/13,11:00,RB,Deephole,5,5.5,10,20,10
Z68,16,5/22/13,5/29/13,23:00,RB,Deephole,2,2.5,10,20,10
Z45,16,5/21/13,5/23/13,11:00,BR,Deephole,1,1.5,19.9395,28.0898,8.1503
Z48,16,5/21/13,5/23/13,11:00,BR,Deephole,3.5,4,20.8488,29.4033,8.5545
Z47,16,5/21/13,5/24/13,11:00,BR,Deephole,2.5,3,10,20,10
Z73,16,5/23/13,5/29/13,11:00,RB,Deephole,1,1.5,20.1307,33.2449,5.2921
Z79,16,5/23/13,5/29/13,23:30,HB,Deephole,0,0.5,20.0683,30.4327,10.3644
Z82,16,5/23/13,5/29/13,23:30,HB,Deephole,3,3.5,20.1503,31.8894,11.7391
Z70,16,5/22/13,5/28/13,23:00,RB,Deephole,4,4.5,19.9343,29.0941,9.1598
Z71,16,5/22/13,5/28/13,23:00,RB,Deephole,5,5.5,20.0423,32.3676,12.3253
Z83,16,5/23/13,5/28/13,23:30,HB,Deephole,4,4.5,20.5372,29.3106,8.7734
Z54,16,5/21/13,5/27/13,23:30,WL,Deephole,7.5,8,20.1031,30.5868,10.4837
Z53,16,5/21/13,5/27/13,23:30,WL,Deephole,6,6.5,19.7603,26.4936,6.7333
Z63,16,5/22/13,5/27/13,11:00,WL,Deephole,9,9.5,19.7516,27.5678,7.8162
Z60,16,5/22/13,5/24/13,11:00,WL,Deephole,4.5,5,20.6561,30.8627,10.2066
Z49,16,5/21/13,5/24/13,23:30,WL,Deephole,0,0.5,20.1939,33.3912,13.1973
Z51,16,5/21/13,5/27/13,23:30,WL,Deephole,3,3.5,20.1279,30.201,10.0731
Z44,16,5/21/13,5/24/13,11:00,BR,Deephole,0.5,1,20.1764,27.3988,7.2224
Z52,16,5/21/13,5/24/13,23:30,WL,Deephole,4.5,5,20.331,27.2631,6.9321
Z50,16,5/21/13,5/24/13,23:30,WL,Deephole,1.5,2,19.8495,26.6061,6.7566
Z108,16,5/28/13,6/6/13,23:00,DW,Deephole,0,0.5,20.218,31.4121,11.1941
Z112,16,5/28/13,6/6/13,23:00,DW,Deephole,4,4.5,19.9414,32.2397,12.2983
Z118,16,5/29/13,6/7/13,11:30,DW,Deephole,4,4.5,20.0873,33.5164,13.4291
Z119,16,5/28/13,6/6/13,23:00,DW,Deephole,5,5.5,20.016,36.6528,16.6368
Z113,16,5/28/13,6/6/13,,DW,Deephole,5,5.5,19.8727,30.8348,10.9621
Z132,16,5/28/13,6/6/13,11:00,CB,Deephole,3,3.5,20.013,31.3049,11.2919
Z106,16,5/28/13,6/5/13,0:00,TU,Deephole,9,9.5,20.0909,32.4928,12.4019
Z102,16,5/28/13,6/5/13,0:00,TU,Deephole,3,3.5,20.0689,30.9526,10.8837
Z100,16,5/28/13,6/5/13,0:00,TU,Deephole,0,0.5,19.9048,30.5638,10.659
Z93,16,5/27/13,6/5/13,11:00,TU,Deephole,3,3.5,19.9576,30.6413,10.6837
Z94,16,5/27/13,6/5/13,11:00,TU,Deephole,4.5,5,20.1427,30.8131,10.6704
