Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),weight empty jar,weight jar full,weight subsample
Z353,17,2014-07-28,2014-07-30,9:00,BO,Deephole,0,2.5,12.5,32.4,19.2
Z361,17,2014-07-31,2014-08-04,8:40,MO,Deephole,0,5,12.5,26.7,7
Z360,3,2014-07-30,2014-08-04,11:00,EL,Deephole,0,8,12.6,34.5,21.6
Z322,17,2014-06-17,2014-06-27,10:45,CR,Deephole,0,10,12.6,39.4,7.1
Z323,17,2014-06-18,2014-06-30,9:45,CB,Deephole,0,6,12.4,23.3,10.4
Z332,3,2014-06-25,2014-07-01,10:20,EL,Deephole,0,10,12.3,32.5,19.6
Z310,17,2014-05-27,2014-06-13,17:00,MO,Deephole,0,5,12.49,54.54,28.946
Z326,17,2014-06-18,2014-06-23,9:00,BR,Deephole,0,4.5,12.5,58,40.7
Z327,17,2014-06-19,2014-06-24,10:27,BA,Deephole,0,8,12.5,30.6,14.1
Z330,17,2014-06-24,2014-06-25,16:00,HB,Deephole,0,5,12.5,29.4,16.5
Z320,3,2014-06-11,2014-06-25,11:45,EL,Deephole,0,10,12.4,24,11.3
Z331,3,2014-06-25,2014-06-27,8:35,WL,Deephole,0,10,12.5,33.4,18.6
Z308,17,2014-05-27,2014-06-11,11:00,BR,Deephole,0,4,12.5083,31.9218,19.0862
Z321,17,2014-06-16,2014-06-24,9:47,BO,Deephole,0,2,12.5,31.2,18.4
Z319,3,2014-06-11,2014-06-24,10:00,WL,Deephole,0,10,12.6,31,20.8
Z313,17,2014-05-29,2014-06-13,12:11,NG,Deephole,0,5,12.499,34.862,21.352
Z314,17,2014-05-30,2014-06-13,9:11,WA,Deephole,0,6.5,12.889,44.674,6.288
Z329,17,2014-06-20,2014-06-23,9:26,WA,Deephole,0,5.5,12.47,28.04,11.54
Z318,17,2014-06-11,2014-06-12,10:30,BA,Deephole,0,10,12.514,40.038,27.524
Z309,17,2014-05-27,2014-06-12,13:15,HB,Deephole,0,6,12.498,87,25.29
Z312,17,2014-05-29,2014-06-13,9:41,BO,Deephole,0,2.5,12.7323,45.8502,32.791
Z316,3,2014-06-04,2014-06-06,9:30,EL,Deephole,0,10,12.52,55.45,17.7
Z315,17,2014-05-30,2014-06-10,12:30,CR,Deephole,0,10,12.478,41.12,10.654
Z307,17,2014-05-26,2014-06-11,10:30,BA,Deephole,0,10,12.41,57.06,6.78
Z305,3,2014-05-28,2014-06-06,9:25,WL,Deephole,0,10,12.7415,23.5367,12.4626
