Zoop ID,Project ID,Date,Time,LakeID,Site,tow type,Depth Top (m),Depth Bot (m),Comments
Z305,3,5/14/14,9:25,WL,Deephole,vertical,0,10,
Z306,3,5/14/14,10:25,EL,Deephole,vertical,0,10,
Z307,17,,10:30,BA,Deephole,vertical,0,10,
Z308,17,,11:00,BR,Deephole,vertical,0,4,
Z309,17,,13:15,HB,Deephole,vertical,0,6,
Z310,17,,17:00,MO,Deephole,vertical,0,5,
Z311,17,,9:34,CB,Deephole,vertical,0,5,
Z312,17,,9:41,BO,Deephole,vertical,0,2.5,
Z313,17,,12:11,NG,Deephole,vertical,0,5,
Z314,17,,9:11,WA,Deephole,vertical,0,6.5,
Z315,17,,12:30,CR,Deephole,vertical,0,10,
Z316,3,,9:30,EL,Deephole,vertical,0,10,
Z317,3,,10:30,WL,Deephole,vertical,0,10,
Z318,3,,10:30,BA,Deephole,vertical,0,10,
Z319,3,,10:00,WL,Deephole,vertical,0,10,
Z320,3,,11:45,EL,Deephole,vertical,0,10,
Z321,17,,9:47,BO,Deephole,vertical,0,2,
Z322,17,,10:45,CR,Deephole,vertical,0,10,
Z323,17,,9:45,CB,Deephole,vertical,0,6,
Z324,3,,10:30,EL,Deephole,vertical,0,10,
Z325,3,,9:20,WL,Deephole,vertical,0,10,
Z326,17,,9:00,BR,Deephole,vertical,0,4.5,
Z327,17,,10:27,BA,Deephole,vertical,0,8,
Z328,17,,8:41,NG,Deephole,vertical,0,3.5,
Z329,17,,9:26,WA,Deephole,vertical,0,5.5,
Z330,17,,16:00,HB,Deephole,vertical,0,5,
Z331,3,,8:35,WL,Deephole,vertical,0,10,
Z332,3,,10:20,EL,Deephole,vertical,0,10,
Z333,17,,14:05,MO,Deephole,vertical,0,5,
Z334,3,,9:00,WL,Deephole,vertical,0,10,
Z335,3,,10:15,EL,Deephole,vertical,0,10,
Z336,3,,9:00,EL,Deephole,vertical,0,10,
Z337,3,,10:15,WL,Deephole,vertical,0,10,
Z338,17,,9:00,CB,Deephole,vertical,0,4.5,
Z339,3,,9:15,WL,Deephole,vertical,0,10,
Z340,3,,10:15,EL,Deephole,vertical,0,10,
Z341,17,,8:55,NG,Deephole,vertical,0,5,
Z342,17,,9:45,WA,Deephole,vertical,0,6,
Z343,17,,10:36,BO,Deephole,vertical,0,2.5,
Z344,17,,9:00,BA,Deephole,vertical,0,10,
Z345,17,,10:15,BR,Deephole,vertical,0,4,
Z346,17,,10:00,CR,Deephole,vertical,0,8,
Z347,17,,13:00,HB,Deephole,vertical,0,5,
Z348,3,,8:45,WL,Deephole,vertical,0,8,
Z349,3,,10:00,EL,Deephole,vertical,0,8,
Z350,17,,8:40,MO,Deephole,vertical,0,5,
Z351,3,,10:20,EL,Deephole,vertical,0,8,
Z352,3,,9:15,WL,Deephole,vertical,0,8,
Z353,17,,9:00,BO,Deephole,vertical,0,2.5,
Z354,17,,9:15,NG,Deephole,vertical,0,5,
Z355,17,,10:45,WA,Deephole,vertical,0,6,
Z356,17,,8:50,HB,Deephole,vertical,0,5,
Z357,17,,11:35,CR,Deephole,vertical,0,8,
Z358,17,,10:00,CB,Deephole,vertical,0,4.5,
Z359,3,,9:05,WL,Deephole,vertical,0,8,
Z360,3,,11:00,EL,Deephole,vertical,0,8,
Z361,17,,8:40,MO,Deephole,vertical,0,5,
Z362,17,,9:45,BA,Deephole,vertical,0,10,
Z363,17,,9:15,BR,Deephole,vertical,0,4,
Z364,3,,10:10,WL,Deephole,vertical,0,10,
Z365,3,,11:40,EL,Deephole,vertical,0,10,
Z366,3,,8:50,WL,Deephole,vertical,0,10,
Z367,3,,10:25,EL,Deephole,vertical,0,10,
Z368,3,,9:00,WL,Deephole,vertical,0,10,
Z369,3,,10:30,EL,Deephole,vertical,0,10,
Z370,,,,,,,,,
Z371,,,,,,,,,
Z372,,,,,,,,,
Z373,,,,,,,,,
Z374,,,,,,,,,
Z375,,,,,,,,,
Z376,,,,,,,,,
Z377,,,,,,,,,
Z378,,,,,,,,,
Z379,,,,,,,,,
Z380,,,,,,,,,
Z381,,,,,,,,,
Z382,,,,,,,,,
Z383,,,,,,,,,
Z384,,,,,,,,,
Z385,,,,,,,,,
Z386,,,,,,,,,
Z387,,,,,,,,,
Z388,,,,,,,,,
Z389,,,,,,,,,
Z390,,,,,,,,,
Z391,,,,,,,,,
Z392,,,,,,,,,
Z393,,,,,,,,,
Z394,,,,,,,,,
Z395,,,,,,,,,
Z396,,,,,,,,,
Z397,,,,,,,,,
Z398,,,,,,,,,
