"","lakeID","dateSample","count","uniqueID","avgWeight.mg","abundance.m2","g.m2"
"1","EL","5/25/11",54,"EL.5/25/11",2.20965456903504,1480.06029875291,3.27042200158673
"2","EL","6/1/11",29,"EL.6/1/11",4.29095226502914,794.847197478416,3.41065138237208
"3","EL","6/8/11",16,"EL.6/8/11",5.13125454932136,438.536384815678,2.25024181962839
"4","EL","6/15/11",33,"EL.6/15/11",3.85768159915111,904.481293682335,3.48920084341473
"5","EL","6/22/11",105,"EL.6/22/11",5.91955255459933,2877.89502535289,17.0358508491964
"6","EL","6/29/11",44,"EL.6/29/11",13.154034715943,1205.97505824311,15.8634377826913
"7","EL","7/6/11",118,"EL.7/6/11",8.69975115093174,3234.20583801562,28.1367859616266
"8","EL","7/13/11",137,"EL.7/13/11",5.58974372728901,3754.96779498424,20.9893076781854
"9","EL","7/20/11",75,"EL.7/20/11",7.9562516545809,2055.63930382349,16.3551836122672
"10","EL","7/27/11",86,"EL.7/27/11",8.20467078580807,2357.13306838427,19.3395008244345
"11","EL","8/3/11",110,"EL.8/3/11",8.83681341718776,3014.93764560778,26.6424414386913
"12","EL","8/10/11",76,"EL.8/10/11",9.39209794400754,2083.04782787447,19.5641892214492
"13","EL","8/17/11",93,"EL.8/17/11",6.93687157774033,2548.99273674113,17.6820352673661
"14","WL","5/25/11",14,"WL.5/25/11",4.60327161112366,383.719336713718,1.76636432933346
"15","WL","6/1/11",19,"WL.6/1/11",3.04563479223952,520.761956968617,1.58605073461836
"16","WL","6/8/11",25,"WL.6/8/11",7.31733163994244,685.213101274496,5.01393150605895
"17","WL","6/15/11",18,"WL.6/15/11",7.76588246241197,493.353432917637,3.83132477246582
"18","WL","6/22/11",101,"WL.6/22/11",9.6831464284645,2768.26092914897,26.8054759291466
"19","WL","6/29/11",24,"WL.6/29/11",6.63958271333812,657.804577223517,4.36754789968795
"20","WL","7/6/11",134,"WL.7/6/11",9.21763973160176,3672.7422228313,33.8540146371012
"21","WL","7/13/11",59,"WL.7/13/11",6.40858517717082,1617.10291900781,10.3633417967131
"22","WL","7/20/11",126,"WL.7/20/11",9.67774494827141,3453.47403042346,33.4218408519172
"23","WL","7/27/11",127,"WL.7/27/11",6.98142510019529,3480.88255447444,24.3015208366398
"24","WL","8/3/11",95,"WL.8/3/11",8.43324532498609,2603.80978484309,21.958566695181
"25","WL","8/10/11",87,"WL.8/10/11",9.05636755630931,2384.54159243525,21.5952851144007
"26","WL","8/17/11",83,"WL.8/17/11",7.40248812383791,2274.90749623133,16.8399757236822
"27","EL","8/8/12",43,"EL.8/8/12",10.7231251071701,1178.56653419213,12.6379163932661
"28","EL","7/11/12",39,"EL.7/11/12",18.6907015064246,1068.93243798821,19.9790971289724
"29","EL","7/18/12",52,"EL.7/18/12",18.6696725797765,1425.24325065095,26.6088248361897
"30","EL","7/25/12",35,"EL.7/25/12",4.85181311863473,959.298341784295,4.65433627935359
"31","EL","8/1/12",48,"EL.8/1/12",7.54096203767097,1315.60915444703,9.92095869009749
"32","EL","6/27/12",106,"EL.6/27/12",9.84434798227592,2905.30354940386,28.600819134473
"33","EL","5/16/12",61,"EL.5/16/12",10.7231251071701,1671.91996710977,17.9282069764937
"34","EL","5/22/12",42,"EL.5/22/12",10.7231251071701,1151.15801014115,12.3440113608645
"35","EL","5/30/12",146,"EL.5/30/12",6.89643794229003,4001.64451144306,27.5970930402726
"36","EL","6/6/12",8,"EL.6/6/12",10.7231251071701,219.268192407839,2.35124025921229
"37","EL","6/13/12",95,"EL.6/13/12",8.50578296800357,2603.80978484309,22.1474409198394
"38","EL","6/20/12",42,"EL.6/20/12",10.7852827222842,1151.15801014115,12.4155645973945
"39","WL","7/11/12",201,"WL.7/11/12",8.57174337819047,5509.11333424695,47.2227057425321
"40","WL","7/18/12",154,"WL.7/18/12",8.57174337819047,4220.9127038509,36.1805805191539
"41","WL","7/25/12",210,"WL.7/25/12",7.93516133450678,5755.79005070577,45.6731226598993
