"","DOC","TP","chl","CP","temp","chaob.gm2"
"1",7.175164386,12.42575,3.482436667,207.707690526441,22.5,9.03233805247618
"2",9.29578517,9.8946,2.6918333775,152.470987694432,22.4,9.4672884023572
"3",6.93441380875,23.07062,2.32147682971429,207.707690526441,21.2,5.08024682864054
"4",9.595875253,11.23853,8.78241632,152.470987694432,21.6,2.79694364107942
"5",10.58919785,10.1857,10.69068185,152.470987694432,21.6,5.72354683543019
"6",10.96056103,10.2759,2.8725826915,152.470987694432,20.2,4.50429368071547
"7",6.8127363375,16.1221412359551,1.99180114,207.707690526441,20.5,1.90295746466386
"8",10.4209656,9.9737,4.211522106,152.470987694432,19.5,2.58757934180791
"9",11.443751065,15.4133,8.801969186,152.470987694432,10,1.21656367525137
"10",5.813332971,12.7788,9.729531667,207.707690526441,11,1.89270119053054
"11",6.297792214,6.5838,0.9441856175,207.707690526441,19.5,5.2811109510361
"12",7.718277082,6.30922,1.636374359,207.707690526441,20.9,1.63861568031471
"13",11.416285885,8.37635,3.1571121615,152.470987694432,21,5.80742528834074
"14",5.882091781,6.72534,1.971906525,207.707690526441,20.8,0.753076553849869
"15",10.246044011,62.74546,8.374947331,152.470987694432,19,2.15972156348526
"16",6.4102279725,10.31392,2.013288302,207.707690526441,19.1,5.14252335382482
"17",6.780678718,3.74202,1.297151199,207.707690526441,22.4,12.3410522244356
"18",9.0511035175,48.65756,6.713199212,152.470987694432,22.9,3.92550552361591
"19",8.315,15.22,6.06,236.020228428983,19.4,6.16928085835587
"20",10.265,15.84,8.54,728.065782106435,19.7,3.46875950866184
"21",8.67,14.76,6.66,240.08544858004,27.2,8.40167731349672
"22",9.78,19.45,11.935,336.872051759822,27.7,4.33208108070844
"23",10.985,18.14,11.365,211.398538446418,22.2,3.35113439033169
"24",7.895,15.38,8.06,240.08544858004,23.9,5.37135870425142
"25",7.39,19.45,9.665,236.020228428983,21.5,4.93127980122264
"26",11.135,14.77,8.735,240.08544858004,25.7,7.41554986680372
"27",6.83,14.64,6.205,207.707690526441,19,2.85858873355938
"28",5.535,17.23,9.165,152.470987694432,19.1,0.970610303698093
"29",6.09,10.36,2.03,377.809904379092,25.3,3.52580756791178
"30",6.435,15.03,4.225,516.040180631916,16.3,22.0880638515993
"31",11.82,14.92,4.78,296.30575117365,20.5,2.19366642820898
"32",6.385,16.74,3.1,321.026950506472,19.8,3.24050800604244
"33",7.24,18.11,4.845,315.664657817011,20.2,5.09485180052228
"34",11.56,17.5,5.145,327.457744203322,20.1,0.283540658979425
"35",10.845,15.2,7.59,271.092527295426,16.1,2.19366642820898
"36",6.13,12.6,6.315,1026.4717933524,16.4,22.0880638515993
"37",10.37,15.39,11.78,179.76435069485,16.4,4.9625917851975
"38",11.415,19.42,9.425,347.250344166789,16.5,5.88235186162273
"39",7.025,20.04,11.46,302.328185879001,17,25.0242921148906
"40",9.68,26.87,11.335,264.285712967089,10.1,5.88235186162273
"41",6.705,22.99,12.345,143.616625699918,9.1,25.0242921148906
"42",7.35,19.49,7.205,185.819493895302,23.1,12.6379163932661
"43",7.04,19.66,7.81,217.020948618882,23.1,17.4341317024944
"44",7.825,21.16,5.53,97.0004444228593,24.4,11.847382392324
"45",7.43,19.32,4.515,130.718500360844,24.7,9.92095869009749
"46",8,19.82,5.11,155.083830498034,25.8,45.6731226598993
"47",8.21,20.16,7.025,167.026066021892,25.9,4.65433627935359
"48",7.92,19.99,2.42,163.066086479551,25,36.1805805191539
"49",8.905,21.16,5.855,230.797615094941,25.1,26.6088248361897
"50",8.58,20.66,8.215,218.199342910025,25.3,47.2227057425321
"51",11.325,22.33,8.19,194.338281695885,26.1,19.9790971289724
"52",6.57,24.35,7.77,151.221205664355,22.7,54.9526212730206
"53",8.335,18.24,10.4,133.037979730962,23.2,28.600819134473
"54",6.325,32.69,7.1,214.644860708127,22.5,15.0763462721881
"55",7.43,21.1,15.29,233.418576075379,23,12.4155645973945
"56",7.685,22.22,4.22,141.947862777164,20.7,40.069693901211
"57",8.425,24.64,6.545,189.323710649204,21.2,22.1474409198394
"58",6.205,19.32,8.96,356.08153550411,22.3,2.35124025921229
"59",7.575,18.36,8.835,182.961357265434,20.6,1.64457184177973
"60",7.4,18.93,12.38,224.076766288073,18.8,45.5781339007524
"61",8.735,17.2,10.11,588.966801008541,18.9,27.5970930402726
"62",7.925,16.58,5.255,185.604619961054,18.2,10.1023698852183
"63",8.735,13.62,3.26,265.456419850431,18.7,12.3440113608645
"64",7.71,9.54,2.64,197.125204132301,17.6,19.2649844322768
"65",8.59,12.87,3.715,141.244417447804,18.3,17.9282069764937
"66",11.045,11.46,3.905,147.589669723792,23.8,16.8399757236822
"67",11.32,13.16,5.225,187.579137194682,22.3,21.5952851144007
"68",6.97,12.54,10.42,95.5081298932768,23.5,21.958566695181
"69",8.31,14.24,7.205,73.4584213337321,23.8,24.3015208366398
"70",6.85,13.77,4.885,189.553654428311,26.6,33.4218408519172
"71",5.49,13.93,5.01,220.460475997175,23.2,10.3633417967131
"72",5.63,10.69,4.17,172.008627593469,24.4,33.8540146371012
"73",8.675,12.85,4.17,110.742555520425,19.4,4.36754789968795
"74",7.55,15.32,6.735,166.95297901001,17.7,26.8054759291466
"75",8.845,0,4.73,141.891264745753,24.2,5.01393150605895
"76",8.7,0,4.73,123.931066885546,16.3,1.76636432933346
"77",7.19,11.61,4.08,145.53981319985,24.2,17.6820352673661
"78",9.13,26.89,5.58,299.291797717377,22.3,19.5641892214492
"79",5.925,9.45,8.32,1512.84877750951,23.9,26.6424414386913
"80",6.215,16.55,8.32,75.5920441793557,23.8,19.3395008244345
"81",5.8,14.08,6.48,232.870515047264,26.7,16.3551836122672
"82",5.395,13.77,4.96,265.356360890819,23.5,20.9893076781854
"83",6.085,11.92,5.235,506.039043063572,25,28.1367859616266
"84",12.99,11.46,7.07,109.400221514117,20.3,15.8634377826913
"85",7.875,21.8,3.885,209.63366622554,17.6,17.0358508491964
"86",8.045,2.2,5.5,228.998257388899,20.5,3.48920084341473
"87",8.965,0,4.4,146.999469487913,25.5,2.25024181962839
"88",7.97,0,4.4,152.307262131234,16.4,3.27042200158673
"89",6.57,24.35,7.77,151.221205664355,22.7,54.9526212730206
"90",8.58,20.66,8.215,218.199342910025,25.3,47.2227057425321
