,ID1,ID2,Comment,Area.All.N,Ampl.N.28,Area.N.28,d15N,X.N,Area.All.C,Area.C.44,X.C,Ampl.C.45,Ampl.C.46,Area.C.46,d13C,amountN.mg,amountC.mg,flag,ProjectID,Date.time,lakeID,Site,depthClass,depth,volFiltered,comments,PON,POC,dateTimeSample,dateSample
1,P-0556,NA,NA,2.211,291,2.194,2.833,0,8.918,8.777,0,737,907,0.038,-23.65,0.0201146,0.1705322,0,15,4/28/13 15:30,EL,Inlet,Surface,0,180,,0.111747778,0.947401111,2013-04-28 15:30:00,2013-04-28 00:00:00
2,P-0557,NA,NA,2.598,341,2.578,1.526,0,8.949,8.807,0,741,913,0.038,-22.651,0.0234428,0.1710871,0,15,4/30/13 11:25,EL,Inlet,Surface,0,180,,0.130237778,0.950483889,2013-04-30 11:25:00,2013-04-30 00:00:00
3,P-0558,NA,NA,2.582,339,2.563,1.051,0,9.42,9.271,0,788,974,0.04,-23.739,0.0233052,0.179518,0,15,5/1/13 12:39,EL,Inlet,Surface,0,180,,0.129473333,0.997322222,2013-05-01 12:39:00,2013-05-01 00:00:00
4,P-0560,NA,NA,1.404,183,1.394,2.818,0,5.86,5.767,0,496,616,0.025,-24.309,0.0131744,0.115794,0,15,5/4/13 17:07,EL,Inlet,Surface,0,180,,0.073191111,0.6433,2013-05-04 17:07:00,2013-05-04 00:00:00
5,P-0568,NA,NA,2.743,353,2.722,0.655,0,9.992,9.836,0,855,1070,0.043,-35.349,0.0246898,0.1897568,0,3,5/15/13 8:30,WL,DeepHole,Hypo,8,180,,0.137165556,1.054204444,2013-05-15 08:30:00,2013-05-15 00:00:00
6,P-0569,NA,NA,4.3,557,4.267,3.479,0,13.26,13.052,0,1149,1432,0.057,-33.475,0.03808,0.248254,0,3,5/15/13 9:30,EL,DeepHole,PML,0-0.25,180,,0.211555556,1.379188889,2013-05-15 09:30:00,2013-05-15 00:00:00
7,P-0570,NA,NA,1.695,213,1.682,3.298,0,9.132,8.989,0,797,993,0.039,-33.57,0.015677,0.1743628,0,3,5/15/13 9:30,EL,DeepHole,Hypo,8,180,,0.087094444,0.968682222,2013-05-15 09:30:00,2013-05-15 00:00:00
8,P-0571,NA,NA,1.97,261,1.955,3.854,0,8.402,8.269,0,736,919,0.036,-30.442,0.018042,0.1612958,0,3,5/15/13 11:00,EL,Outlet,Surface,0,180,,0.100233333,0.896087778,2013-05-15 11:00:00,2013-05-15 00:00:00
9,P-0572,NA,NA,0.537,71,0.533,0.584,0,6.56,6.457,0,591,736,0.028,-25.835,0.0057182,0.128324,0,3,5/15/13 12:05,EL,Inlet,Surface,0,180,,0.031767778,0.712911111,2013-05-15 12:05:00,2013-05-15 00:00:00
10,P-0591,NA,NA,2.095,283,2.079,1.109,0,8.718,8.581,0,775,961,0.037,-28.205,0.019117,0.1669522,0,3,5/22/13 8:45,WL,DeepHole,PML,0-1,180,,0.106205556,0.927512222,2013-05-22 08:45:00,2013-05-22 00:00:00
11,P-0592,NA,NA,1.618,219,1.606,0.429,0,7.092,6.981,0,630,786,0.03,-32.312,0.0150148,0.1378468,0,3,5/22/13 8:45,WL,DeepHole,Hypo,10,140,,0.107248571,0.98462,2013-05-22 08:45:00,2013-05-22 00:00:00
12,P-0593,NA,NA,3.387,453,3.362,1.746,0,11.741,11.556,0,1039,1291,0.05,-28.875,0.0302282,0.2210639,0,3,5/22/13 11:26,EL,DeepHole,PML,0-1,140,,0.215915714,1.579027857,2013-05-22 11:26:00,2013-05-22 00:00:00
