"","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","mgC","mgN","ProjectID","dateSample","lakeID","Site","depthClass","depth","volFiltered","comments"
"1","P-0957",NA,NA,0.63,76,0.626,-1.321,0,3.785,3.726,0,310,387,0.016,-29.181,0.0799815,0.005055,3,"08/14/2013","EL","Inlet 1","Surface","0","200",""
"2","P-0958",NA,NA,0.505,61,0.501,-0.545,0,4.087,4.022,0,336,420,0.018,-25.184,0.0847833,0.0039925,3,"08/14/2013","EL","outlet","Surface","0","140",""
"3","P-0969",NA,NA,1.008,126,1,0.292,0,5.224,5.141,0,425,529,0.023,-23.726,0.1028616,0.008268,15,"04/23/2014","EL","Inlet 1","surface","0","180","1"
"4","P-0973",NA,NA,1.721,214,1.708,0.777,0,7.309,7.194,0,579,722,0.031,-29.789,0.1360131,0.0143285,3,"05/14/2014","WL","DH","PML","1","120","1"
"5","P-0974",NA,NA,1.709,210,1.696,-0.165,0,6.265,6.167,0,493,616,0.027,-34.374,0.1194135,0.0142265,3,"05/14/2014","WL","DH","Hypo","8","120","1"
"6","P-0975",NA,NA,2.219,279,2.203,1.291,0,8.139,8.012,0,637,795,0.035,-32.738,0.1492101,0.0185615,3,"05/14/2014","EL","DH","PML","1","120","1"
"7","P-0977",NA,NA,0.417,53,0.414,-4.528,0,3.236,3.185,0,259,323,0.014,-25.093,0.0712524,0.0032445,3,"05/14/2014","EL","Inlet 1","surface","0","140","1"
"8","P-0987",NA,NA,1.702,209,1.69,2.769,0,6.968,6.858,0,545,678,0.03,-26.545,0.1305912,0.014167,3,"05/21/2014","WL","DH","PML","2","120","1"
"9","P-0988",NA,NA,1.737,216,1.724,2.986,0,6.395,6.294,0,498,623,0.027,-31.526,0.1214805,0.0144645,3,"05/21/2014","WL","DH","Hypo","8","120","1"
"10","P-0989",NA,NA,1.96,252,1.945,2.663,0,7.402,7.286,0,584,723,0.032,-28.901,0.1374918,0.01636,3,"05/21/2014","EL","DH","PML","2","120","1"
"11","P-0990",NA,NA,1.226,147,1.217,-3.892,0,5.737,5.647,0,432,541,0.025,-32.823,0.1110183,0.010121,3,"05/21/2014","EL","DH","Hypo","8","120","1"
