Project ID,Isotope ID,Date time,Lake ID,Site,Depth class,Depth (m),Volume Filtered (mL),sample type,comments
15,P-0556,4/28/13 15:30,EL,Inlet,Surface,0,180,filter ,
15,P-0557,4/30/13 11:25,EL,Inlet,Surface,0,180,filter ,
15,P-0558,5/1/13 12:39,EL,Inlet,Surface,0,180,filter ,
15,P-0559,5/1/13 15:00,Blank,Blank,Blank,Blank,200,filter ,DI water 
15,P-0560,5/4/13 17:07,EL,Inlet,Surface,0,180,filter ,
15,P-0561,5/6/13 12:05,MO,Inlet 1,Surface,0,180,Filter ,
15,P-0562,5/6/13 14:02,MO,Inlet 2,Surface,0,180,Filter ,
15,P-0563,5/13/13 9:25,HB,Deep Hole,PML,0-3,180,Filter ,
15,P-0564,5/13/13 9:25,HB,Deep Hole,Hypo,6,180,Filter ,
15,P-0565,5/14/13 8:50,CR,Deep Hole,PML,0-6,180,Filter ,
15,P-0566,5/14/13 8:50,CR,Deep Hole,Hypo,10,180,Filter ,
3,P-0567,5/15/13 8:30,WL,Deep Hole,PML,0-1,180,Filter ,
3,P-0568,5/15/13 8:30,WL,Deep Hole,Hypo,8,180,Filter ,
3,P-0569,5/15/13 9:30,EL,Deep Hole,PML,0-0.25,180,Filter ,
3,P-0570,5/15/13 9:30,EL,Deep Hole,Hypo,8,180,Filter ,
3,P-0571,5/15/13 11:00,EL,Outlet,Surface,0,180,Filter ,
3,P-0572,5/15/13 12:05,EL,Inlet,Surface,0,180,Filter ,
15,P-0573,5/16/13 9:12,MO,Deep Hole,PML,0-1.5,180,Filter ,
15,P-0574,5/16/13 9:12,MO,Deep Hole,Hypo,5,120,Filter ,
15,P-0575,5/16/13 11:10,MO,Inlet 1,Surface,0,180,Filter ,
15,P-0576,5/16/13 11:30,MO,Inlet 2,Surface,0,180,Filter ,
15,P-0577,5/16/13 10:55,MO,Inlet 3,Surface,0,180,Filter ,
15,P-0578,5/17/13 14:00,Blank,Blank,Blank,Blank,200,Filter ,DI Water
16,P-0579,5/20/13 11:00,BA,Deep Hole,PML,0-1.5,200,Filter ,
16,P-0580,5/20/13 11:00,BA,Deep Hole,Hypo,6,200,Filter ,
16,P-0581,5/20/13 11:00,BA,Deep Hole,DCL,2,200,Filter ,
15,P-0582,5/20/13 9:15,HB,Deep Hole,PML,0-1,140,Filter ,
15,P-0583,5/20/13 9:15,HB,Deep Hole,Hypo,6,145,Filter ,
16,P-0584,5/21/13 13:00,BR,Deep Hole,PML,0-0.5,150,Filter ,
16,P-0585,5/21/13 13:00,BR,Deep Hole,Hypo,3,,Filter ,vol not recorded
15,P-0586,5/21/13 9:45,CR,Deep Hole,PML,0-1.5,180,Filter ,
15,P-0587,5/21/13 9:45,CR,Deep Hole,Hypo,12.5,200,Filter ,
15,P-0588,5/21/13 9:45,CR,Inlet 1,Surface,0,180,Filter ,
16,P-0589,5/21/13 13:00,BR,Deep Hole,PML,0-1.5,850,Particulate,dD POC
16,P-0590,5/21/13 13:00,BR,Deep Hole,Hypo,3,1050,Particulate,dD POC
3,P-0591,5/22/13 8:45,WL,Deep Hole,PML,0-1,180,Filter ,
3,P-0592,5/22/13 8:45,WL,Deep Hole,Hypo,10,140,Filter ,
3,P-0593,5/22/13 11:26,EL,Deep Hole,PML,0-1,140,Filter ,
3,P-0594,5/22/13 11:26,EL,Deep Hole,Hypo,10,150,Filter ,
18,P-0595,5/22/13 11:07,BO,Deep Hole,PML,0-0.5,100,Filter ,
18,P-0596,5/22/13 11:07,BO,Deep Hole,Hypo,3,70,Filter ,
15,P-0597,5/22/13 18:00,EL,Outlet,Surface,0,180,Filter ,
15,P-0598,5/22/13 18:25,EL,Inlet 1,Surface,0,180,Filter ,
15,P-0599,5/23/13 9:00,MO,Deep Hole,PML,0-1.5,140,Filter ,
15,P-0600,5/23/13 9:00,MO,Deep Hole,Hypo,6,140,Filter ,
15,P-0601,5/23/13 13:07,MO,Inlet 1,Surface,0,200,Filter ,
15,P-0602,5/23/13 13:07,MO,Inlet 2,Surface,0,200,Filter ,
15,P-0603,5/23/13 13:07,MO,Inlet 3,Surface,0,200,Filter ,
15,P-0604,5/23/13 13:07,MO,Outlet,Surface,0,200,Filter ,
16,P-0605,5/23/13 11:30,RB,Deep Hole,PML,0-1.5,200,Filter ,
16,P-0606,5/23/13 11:30,RB,Deep Hole,Hypo,4.5,60,Filter ,
16,P-0607,5/23/13 11:30,RB,Deep Hole,Meta,2.5,70,Filter ,
16,P-0608,5/23/13 11:30,RB,Deep Hole,PML ,0-1.5,1000,Particulate,dD POC
17,P-0609,5/24/13 10:30,WA,Deep Hole,PML,0-1.5,180,Filter ,
15,P-0610,5/27/13 9:00,HB,Deep Hole,PML,0-1,140,Filter ,
15,P-0611,5/27/13 9:00,HB,Deep Hole,Hypo,6,140,Filter ,
15,P-0612,5/27/13 9:00,HB,Outlet,Surface,0,140,Filter ,
17,P-0613,5/27/13 9:15,BR,Deep Hole,PML,0-2,140,Filter ,
17,P-0614,5/27/13 12:00,CR,Deep Hole,PML,0-3,140,Filter ,
17,P-0615,5/27/13 15:45,BO,Deep Hole,PML,0-0.5,120,Filter ,
15,P-0616,5/28/13 9:00,CR,Deep Hole,Hypo,12,140,Filter ,
15,P-0617,5/28/13 9:00,CR,Outlet,Surface,0,140,Filter ,
17,P-0618,5/28/13 10:00,BA,Deep Hole,PML,0-3,140,Filter ,
17,P-0619,5/28/13 11:00,NG,Deep Hole,PML,0-0.5,140,Filter ,
16,P-0620,5/28/13 12:30,TU,Deep Hole,Hypo,7.5,140,Filter ,
16,P-0621,5/23/13 11:30,RB,Deep Hole,PML,0-1.5,1000,Particulate,
15,P-0622,5/29/13 10:00,EL,Outlet,Surface,0,140,Filter ,
15,P-0623,5/29/13 10:00,EL,Inlet 1,Surface,0,140,Filter ,
3,P-0624,5/29/13 9:00,WL,Deep Hole,PML,0-1.5,140,Filter ,
3,P-0625,5/29/13 9:00,WL,Deep Hole,Hypo,8,140,Filter ,
3,P-0626,5/29/13 10:15,EL,Deep Hole,PML,0-2,150,Filter ,
3,P-0627,5/29/13 10:15,EL,Deep Hole,Hypo,8,,Filter ,vol not recorded
16,P-0628,5/29/13 11:00,DW,Deep Hole,PML,0-1.5,200,Filter ,
16,P-0629,5/29/13 11:00,DW,Deep Hole,Hypo,4,200,Filter ,
17,P-0630,5/30/13 8:45,PA,Deep Hole,PML,0-1,200,Filter ,
17,P-0631,5/30/13 9:30,PE,Deep Hole,PML,0-1.5,140,Filter ,
16,P-0632,5/30/13 11:00,CB,Deep Hole,PML,0-1,,Filter ,vol not recorded
16,P-0633,5/30/13 11:00,CB,Deep Hole,Hypo,3.5,,Filter ,vol not recorded
15,P-0634,5/30/13 8:45,MO,Deep Hole,PML,0-1,140,Filter ,
15,P-0635,5/30/13 8:45,MO,Deep Hole,Hypo,6,100,Filter ,
15,P-0636,5/30/13 10:00,MO,Inlet 1,Surface,0,140,Filter ,
15,P-0637,5/30/13 10:20,MO,Inlet 2,Surface,0,140,Filter ,
15,P-0638,5/30/13 10:15,MO,Inlet 3,Surface,0,,Filter ,vol not recorded
15,P-0639,5/31/13 8:30,Blank,Blank,Blank,Blank,200,Filter ,
16,P-0640,5/31/13 11:30,RE,Deep Hole,PML,0-1,150,Filter ,
16,P-0641,5/31/13 11:30,RE,Deep Hole,Hypo,9,140,Filter ,
17,P-0642,5/31/13 8:50,TU,Deep Hole,PML,0-1,140,Filter ,
17,P-0643,5/31/13 11:15,CB,Deep Hole,PML,0-0.5,100,Filter ,
18,P-0644,5/31/13 11:10,BO,Deep Hole,PML,0-0.5,90,Filter ,
18,P-0645,5/31/13 11:10,BO,Deep Hole,Hypo,3,90,Filter ,
16,P-0646,6/3/13 12:00,BA,Deep Hole,PML,0-2,200,Filter ,
16,P-0647,6/3/13 12:00,BA,Deep Hole,Hypo,6,200,Filter ,
16,P-0648,6/4/13 12:00,BR,Deep Hole,PML,0-2,200,Filter ,
16,P-0649,6/4/13 12:00,BR,Deep Hole,Hypo,3,200,Filter ,
16,P-0650,5/30/13 11:00,CB,Deep Hole,PML,0-1,-,Particulate,dD POC
16,P-0651,5/30/13 11:00,CB,Deep Hole,Hypo,3.5,-,Particulate,dD POC
15,P-0652,6/4/13 10:00,CR,Deep Hole,PML,0-2.5,140,Filter ,
15,P-0653,6/4/13 10:00,CR,Deep Hole,Hypo,12,140,Filter ,
15,P-0654,6/4/13 13:30,HB,Deep Hole,PML,0-0.75,140,Filter ,
15,P-0655,6/4/13 13:30,HB,Deep Hole,Hypo,5,140,Filter ,
3,P-0656,6/5/13 9:00,WL,Deep Hole,PML,0-2,140,Filter ,
3,P-0657,6/5/13 9:00,WL,Deep Hole,Hypo,8,140,Filter ,
3,P-0658,6/5/13 10:45,EL,Deep Hole,PML,0-1.5,180,Filter ,
3,P-0659,6/5/13 10:45,EL,Deep Hole,Hypo,8,140,Filter ,
3,P-0660,6/5/13 10:30,EL,Outlet,Surface,0,100,Filter ,
3,P-0661,6/5/13 12:00,EL,Inlet 1,Surface,0,180,Filter ,
