Proj ID,Isotope ID,Lake ID,Site,Date Sample,Time Sample,Depth class,Depth Top (m),Depth Bot (m),Vol. Filt. (mL),Sample Type,comments
15,P-0969,EL,Inlet 1,4/23/2014,12:00,surface,0,0,180,filter,1
15,P-0970,MO,Inlet 1,4/23/2014,12:00,surface,0,0,180,filter,
15,P-0971,MO,Inlet 2,4/23/2014,12:00,surface,0,0,120,filter,
15,P-0972,MO,Inlet 3,4/23/2014,12:00,surface,0,0,120,filter,
3,P-0973,WL,DH,5/14/2014,9:25,PML,0,1,120,filter,1
3,P-0974,WL,DH,5/14/2014,9:25,Hypo,8,8,120,filter,1
3,P-0975,EL,DH,5/14/2014,11:05,PML,0,1,120,filter,1
3,P-0976,EL,DH,5/14/2014,11:05,Hypo,8,8,120,filter,1
3,P-0977,EL,Inlet 1,5/14/2014,11:05,surface,0,0,140,filter,1
15,P-0978,MO,DH,5/15/2014,8:45,PML,0,1.5,120,filter,
15,P-0979,MO,DH,5/15/2014,8:45,Hypo,5,5,100,filter,
15,P-0980,MO,Inlet 1,5/15/2014,9:45,surface,0,0,100,filter,
15,P-0981,MO,Inlet 2,5/15/2014,9:55,surface,0,0,120,filter,
15,P-0982,MO,Inlet 3,5/15/2014,10:10,surface,0,0,120,filter,
15,P-0983,CR,DH,5/16/2014,8:55,PML,0,2.5,120,filter,
15,P-0984,CR,DH,5/16/2014,8:55,Hypo,10,10,120,filter,
15,P-0985,HB,DH,5/16/2014,10:25,PML,0,1,120,filter,
15,P-0986,HB,DH,5/16/2014,10:25,Hypo,5,5,120,filter,
3,P-0987,WL,DH,5/21/2014,10:20,PML,0,2,120,filter,1
3,P-0988,WL,DH,5/21/2014,10:20,Hypo,8,8,120,filter,1
3,P-0989,EL,DH,5/21/2014,11:00,PML,0,2,120,filter,1
3,P-0990,EL,DH,5/21/2014,11:00,Hypo,8,8,120,filter,1
15,P-0991,MO,DH,5/22/2014,17:05,PML,0,1.5,120,filter,
15,P-0992,MO,DH,5/22/2014,17:05,Hypo,5,5,120,filter,
15,P-0993,CR,DH,5/23/2014,15:15,PML,0,2.5,120,filter,
15,P-0994,CR,DH,5/23/2014,15:15,Hypo,10,10,120,filter,
15,P-0995,HB,DH,5/23/2014,12:00,PML,0,1,120,filter,
15,P-0996,HB,DH,5/23/2014,12:00,Hypo,5,5,120,filter,
17,P-0997,BA,DH,5/26/2014,10:15,PML,0,1.5,140,filter,
17,P-0998,BA,DH,5/26/2014,10:15,Hypo,10,10,120,filter,
15,P-0999,HB,DH,5/26/2014,11:20,PML,0,0.5,120,filter,
15,P-1000,HB,DH,5/26/2014,11:20,Hypo,5,5,120,filter,
15,P-1001,HB,Outlet,5/26/2014,11:20,surface,0,0,120,filter,
15,P-1002,MO,DH,5/27/2014,9:15,PML,0,0.5,120,filter,
15,P-1003,MO,DH,5/27/2014,9:15,Hypo,5,5,100,filter,
15,P-1004,MO,Inlet 1,5/27/2014,10:25,surface,0,0,140,filter,
15,P-1005,MO,Inlet 2,5/27/2014,10:50,surface,0,0,140,filter,
15,P-1006,MO,Inlet 3,5/27/2014,10:10,surface,0,0,140,filter,
15,P-1007,MO,Outlet,5/27/2014,9:15,surface,0,0,120,filter,
15,P-1008,CR,DH,5/27/2014,11:35,PML,0,1,120,filter,
15,P-1009,CR,DH,5/27/2014,11:35,Hypo,10,10,120,filter,
15,P-1010,CR,Outlet,5/27/2014,12:30,surface,0,0,140,filter,
17,P-1011,BR,DH,5/27/2014,10:30,PML,0,1.5,120,filter,
17,P-1012,BR,DH,5/27/2014,10:30,Hypo,4,4,120,filter,
17,P-1013,CB,DH,5/28/2014,9:35,PML,0,1,120,filter,
17,P-1014,CB,DH,5/28/2014,9:35,Hypo,5,5,120,filter,
15,P-1015,WL,DH,5/28/2014,9:05,PML,0,1,120,filter,1
15,P-1016,WL,DH,5/28/2014,9:05,Hypo,10,10,120,filter,1
15,P-1017,EL,DH,5/28/2014,10:20,PML,0,0.5,120,filter,1
15,P-1018,EL,DH,5/28/2014,10:20,Hypo,8,8,120,filter,1
15,P-1019,EL,Inlet,5/28/2014,11:50,surface,0,0,160,filter,1
17,P-1020,BO,DH,5/29/2014,9:40,PML,0,0.5,50,filter,4 filters
17,P-1021,BO,DH,5/29/2014,9:40,Hypo,3,3,70,filter,
17,P-1022,NG,DH,5/29/2014,12:10,PML,0,0.5,160,filter,
17,P-1023,NG,DH,5/29/2014,12:10,Hypo,4,4,120,filter,
17,P-1024,WA,DH,5/30/2014,9:10,PML,0,0.5,120,filter,
17,P-1025,WA,DH,5/30/2014,9:10,Hypo,4,4,120,filter,
3,P-1026,WL,DH,6/4/2014,8:50,PML,0,1.5,140,filter,
3,P-1027,WL,DH,6/4/2014,8:50,Hypo,8,8,140,filter,
3,P-1028,EL,DH,6/4/2014,10:30,PML,0,1.5,120,filter,
3,P-1029,EL,DH,6/4/2014,10:30,Hypo,8,8,120,filter,
3,P-1030,EL,Inlet,6/4/2014,12:00,surface,0,0,120,filter,
3,P-1031,EL,Outlet,6/4/2014,11:30,surface,0,0,120,filter,
19,P-1032,AQ,DH,6/4/2014,15:30,PML,0,1.5,120,filter,
15,P-1033,HB,DH,6/5/2014,8:45,PML,0,0.5,120,filter,
15,P-1034,HB,DH,6/5/2014,8:45,Hypo,5,5,120,filter,
15,P-1035,HB,Outlet,6/5/2014,9:00,surface,0,0,140,filter,
15,P-1036,CR,DH,6/5/2014,10:00,PML,0,2,140,filter,
15,P-1037,CR,DH,6/5/2014,10:00,Hypo,10,10,120,filter,
15,P-1038,CR,Outlet,6/5/2014,10:50,surface,0,9,120,filter,
15,P-1039,MO,DH,6/6/2014,8:45,PML,0,0.5,120,filter,
15,P-1040,MO,DH,6/6/2014,8:45,Hypo,5,5,100,filter,4 filters
15,P-1041,MO,Outlet,6/6/2014,9:00,surface,0,0,120,filter,
15,P-1042,MO,Inlet 1,6/6/2014,10:45,surface,0,0,140,filter,
15,P-1043,MO,Inlet 2,6/6/2014,11:20,surface,0,0,80,filter,
15,P-1044,MO,Inlet 3,6/6/2014,9:45,surface,0,0,140,filter,
19,P-1045,BV,DH,6/6/2014,12:20,PML,0,3,140,filter,
19,P-1046,ER,DH,6/6/2014,11:20,PML,0,2.5,140,filter,
19,P-1047,BH,DH,6/6/2014,9:20,PML,0,1.5,140,filter,
19,P-1048,MC,DH,6/9/2014,11:00,PML,0,2,140,filter,
19,P-1049,TF,DH,6/9/2014,16:00,PML,0,3,140,filter,
15,P-1050,CR,DH,6/10/2014,9:00,PML,0,2,140,filter,
15,P-1051,CR,DH,6/10/2014,9:00,Hypo,10,10,140,filter,
15,P-1052,CR,Outlet,6/10/2014,10:00,surface,0,0,140,filter,
15,P-1053,HB,DH,6/10/2014,12:25,PML,0,0.5,120,filter,
15,P-1054,HB,DH,6/10/2014,12:25,Hypo,5,5,120,filter,
15,P-1055,HB,Outlet,6/10/2014,1:00,surface,0,0,110,filter,
3,P-1056,WL,DH,6/11/2014,10:15,PML,0,1.5,140,filter,1
3,P-1057,WL,DH,6/11/2014,10:15,Hypo,8,8,140,filter,1
3,P-1058,EL,DH,6/11/2014,11:45,PML,0,1,140,filter,1
3,P-1059,EL,DH,6/11/2014,11:45,Hypo,8,8,140,filter,1
3,P-1060,EL,Outlet,6/11/2014,13:05,surface,0,0,120,filter,1
3,P-1061,EL,Inlet ,6/11/2014,13:25,surface,0,0,140,filter,1
19,P-1062,HE,DH,6/12/2014,11:00,PML,0,1,140,filter,
19,P-1063,RS,DH,6/12/2014,9:20,PML,0,0.5,140,filter,
15,P-1064,HB,WC1,6/12/2014,16:45,surface,0,0,120,filter,
15,P-1065,MO,PML,6/13/2014,8:55,PML,0,1.5,140,filter,
15,P-1066,MO,Hypo,6/13/2014,8:55,Hypo,5,5,140,filter,
15,P-1067,MO,Outlet,6/13/2014,9:45,surface,0,0,120,filter,
15,P-1068,MO,Inlet 1,6/13/2014,10:00,surface,0,0,140,filter,
15,P-1069,MO,Inlet 2,6/13/2014,10:15,surface,0,0,120,filter,
15,P-1070,MO,Inlet 3,6/13/2014,9:50,surface,0,0,120,filter,
,P-1071,DW,DH,6/13/2014,16:30,PML,0,1,140,filter,
17,P-1072,BO,DH,6/16/2014,9:47,PML,0,1,100,filter,
17,P-1073,BO,DH,6/16/2014,9:47,Hypo,2,2,70,filter,
15,P-1074,HB,DH,6/17/2014,9:15,PML,0,0.5,100,filter,
15,P-1075,HB,DH,6/17/2014,9:15,Hypo,5,5,120,filter,
15,P-1076,HB,Outlet,6/17/2014,10:00,surface,0,0,100,filter,
15,P-1077,HB,WC1,6/17/2014,10:00,surface,0,0,120,filter,
15,P-1078,CR,DH,6/17/2014,10:45,PML,10,10,140,filter,
15,P-1079,CR,DH,6/17/2014,10:45,Hypo,0,0,140,filter,
