projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,runID,chl,replicate,comments,flag
3,WL,DeepHole,5/14/2014,5/14/2014 9:25,PML,0,1,2,9.663988114,1,,0
3,WL,DeepHole,5/14/2014,5/14/2014 9:25,PML,0,1,3,9.79507522,2,,0
3,WL,DeepHole,5/14/2014,5/14/2014 9:25,Hypo,8,8,5,3.643260153,1,,0
3,WL,DeepHole,5/14/2014,5/14/2014 9:25,Hypo,8,8,5,6.08667144,2,,0
3,EL,DeepHole,5/14/2014,5/14/2014 11:05,PML,0,1,3,9.457752352,1,,0
3,EL,DeepHole,5/14/2014,5/14/2014 11:05,PML,0,1,3,8.14618602,2,,0
3,EL,DeepHole,5/14/2014,5/14/2014 11:05,Hypo,8,8,3,1.425969321,1,,0
3,EL,DeepHole,5/14/2014,5/14/2014 11:05,Hypo,8,8,3,1.73898785,2,,0
15,MO,DeepHole,5/15/2014,5/15/2014 8:45,PML,0,1.5,3,7.232569866,1,,0
15,MO,DeepHole,5/15/2014,5/15/2014 8:45,PML,0,1.5,5,7.930190883,2,,0
15,MO,DeepHole,5/15/2014,5/15/2014 8:45,Hypo,5,5,3,3.554201529,1,,0
15,MO,DeepHole,5/15/2014,5/15/2014 8:45,Hypo,5,5,3,2.900922245,2,,0
15,CR,DeepHole,5/16/2014,5/16/2014 8:55,PML,0,2.5,4,6.653210315,1,,0
15,CR,DeepHole,5/16/2014,5/16/2014 8:55,PML,0,2.5,3,4.126889226,2,,0
15,CR,DeepHole,5/16/2014,5/16/2014 8:55,Hypo,10,10,5,3.612535944,2,,0
15,HB,DeepHole,5/16/2014,5/16/2014 10:25,PML,0,1,3,3.742827243,1,,0
15,HB,DeepHole,5/16/2014,5/16/2014 10:25,PML,0,1,5,2.513760603,2,,0
15,HB,DeepHole,5/16/2014,5/16/2014 10:25,Hypo,5,5,5,1.595314276,1,,0
15,HB,DeepHole,5/16/2014,5/16/2014 10:25,Hypo,5,5,3,2.762240614,2,,0
3,WL,DeepHole,5/21/2014,5/21/2014 10:20,PML,0,2,5,9.988578974,1,,0
3,WL,DeepHole,5/21/2014,5/21/2014 10:20,PML,0,2,4,12.70688321,2,,0
3,WL,DeepHole,5/21/2014,5/21/2014 10:20,Hypo,8,8,5,2.432699565,1,,0
3,WL,DeepHole,5/21/2014,5/21/2014 10:20,Hypo,8,8,2,0.93043576,2,,0
3,EL,DeepHole,5/21/2014,5/21/2014 11:00,PML,0,2,5,5.45110203,2,,0
3,EL,DeepHole,5/21/2014,5/21/2014 11:00,Hypo,8,8,5,1.684273913,1,,0
3,EL,DeepHole,5/21/2014,5/21/2014 11:00,Hypo,8,8,4,0.999547252,2,,0
15,MO,DeepHole,5/22/2014,5/22/2014 17:05,Hypo,5,5,3,4.793121923,1,,0
15,MO,DeepHole,5/22/2014,5/22/2014 17:05,Hypo,5,5,5,4.413775106,2,,0
15,CR,DeepHole,5/23/2014,5/23/2014 15:15,PML,0,2.5,3,1.566320206,1,,0
15,CR,DeepHole,5/23/2014,5/23/2014 15:15,PML,0,2.5,5,2.018558655,2,,0
15,CR,DeepHole,5/23/2014,5/23/2014 15:15,Hypo,10,10,5,3.378724049,1,,0
15,HB,DeepHole,5/23/2014,5/23/2014 12:00,PML,0,1,4,4.684074276,2,,0
15,HB,DeepHole,5/23/2014,5/23/2014 12:00,Hypo,5,5,5,2.564231307,1,,0
15,HB,DeepHole,5/23/2014,5/23/2014 12:00,Hypo,5,5,5,3.954049913,2,,0
17,BA,DeepHole,5/26/2014,5/26/2014 10:15,PML,0,1.5,5,4.431022903,1,,0
17,BA,DeepHole,5/26/2014,5/26/2014 10:15,PML,0,1.5,3,3.319166269,2,,0
17,BA,DeepHole,5/26/2014,5/26/2014 10:15,Hypo,10,10,5,3.898481113,1,,0
17,BA,DeepHole,5/26/2014,5/26/2014 10:15,Hypo,10,10,3,3.240377475,2,,0
15,HB,DeepHole,5/26/2014,5/26/2014 11:20,PML,0,0.5,3,4.015182742,1,,0
15,HB,DeepHole,5/26/2014,5/26/2014 11:20,PML,0,0.5,3,3.658897147,2,,0
15,HB,DeepHole,5/26/2014,5/26/2014 11:20,Hypo,5,5,4,1.105739485,1,,0
15,HB,DeepHole,5/26/2014,5/26/2014 11:20,Hypo,5,5,5,3.140962854,2,,0
15,MO,DeepHole,5/27/2014,5/27/2014 9:15,PML,0,0.5,3,10.80419583,1,,0
15,MO,DeepHole,5/27/2014,5/27/2014 9:15,PML,0,0.5,5,8.931940207,2,,0
15,MO,DeepHole,5/27/2014,5/27/2014 9:15,Hypo,5,5,4,3.092422986,1,,0
15,MO,DeepHole,5/27/2014,5/27/2014 9:15,Hypo,5,5,2,5.105239766,2,,0
15,CR,DeepHole,5/27/2014,5/27/2014 11:35,PML,0,1,2,0.012640518,1,,0
15,CR,DeepHole,5/27/2014,5/27/2014 11:35,PML,0,1,5,1.156395712,2,,0
15,CR,DeepHole,5/27/2014,5/27/2014 11:35,Hypo,10,10,4,2.101621681,1,,0
15,CR,DeepHole,5/27/2014,5/27/2014 11:35,Hypo,10,10,5,2.51996375,2,,0
17,BR,DeepHole,5/27/2014,5/27/2014 10:30,PML,0,1.5,3,5.72881162,1,,0
17,BR,DeepHole,5/27/2014,5/27/2014 10:30,PML,0,1.5,3,5.492333956,2,,0
17,BR,DeepHole,5/27/2014,5/27/2014 10:30,Hypo,4,4,3,13.67342536,1,,0
17,BR,DeepHole,5/27/2014,5/27/2014 10:30,Hypo,4,4,5,20.24684734,2,,0
17,CB,DeepHole,5/28/2014,5/28/2014 9:35,PML,0,1,3,2.348088404,1,,0
17,CB,DeepHole,5/28/2014,5/28/2014 9:35,PML,0,1,4,1.444877149,2,,0
17,CB,DeepHole,5/28/2014,5/28/2014 9:35,Hypo,5,5,3,6.385857416,1,,0
