DOC.ID,Proj.ID,Lake.ID,Site,Date.Sample,Time.Sample,Depth.Class,Depth.Top..m.,Depth.Bot..m.,Rep,Comments,DOC_mgL,TN_mgL,flag
1,15,EL,Inlet1,4/23/2014,12:00,Surface,0,0,1,,38.96085679,NA,0
2,15,EL,Inlet1,4/23/2014,12:00,Surface,0,0,2,,38.37280194,NA,0
3,15,MO,Inlet1,4/23/2014,12:00,Surface,0,0,1,,9.377806716,0.663983647,0
4,15,MO,Inlet1,4/23/2014,12:00,Surface,0,0,2,,8.45083701,NA,0
5,15,MO,Inlet2,4/23/2014,12:00,Surface,0,0,1,,20.99307827,0.579710979,0
6,15,MO,Inlet2,4/23/2014,12:00,Surface,0,0,2,,22.37978954,NA,0
7,15,MO,Inlet3,4/23/2014,12:00,Surface,0,0,1,,22.26654662,NA,0
8,15,MO,Inlet3,4/23/2014,12:00,Surface,0,0,2,,23.62000461,NA,0
9,3,WL,DeepHole,5/14/2014,9:25,PML,0,1,1,,6.352322415,0.314530791,0
10,3,WL,DeepHole,5/14/2014,9:25,PML,0,1,2,,5.274343527,NA,0
11,3,WL,DeepHole,5/14/2014,9:25,Hypo,8,8,1,,7.418866581,0.438948856,0
12,3,WL,DeepHole,5/14/2014,9:25,Hypo,8,8,2,,6.70752834,NA,0
13,3,EL,DeepHole,5/14/2014,11:07,PML,0,1,1,,10.56077387,NA,0
14,3,EL,DeepHole,5/14/2014,11:07,PML,0,1,2,,12.32672826,NA,0
15,3,EL,DeepHole,5/14/2014,11:07,Hypo,8,8,1,,11.78944662,NA,0
16,3,EL,DeepHole,5/14/2014,11:07,Hypo,8,8,2,,6.628714291,0.287320047,0
17,3,EL,Inlet1,5/14/2014,11:07,Surface,0,0,1,,36.44270117,NA,0
18,3,EL,Inlet1,5/14/2014,11:07,Surface,0,0,2,,24.17471573,NA,0
19,15,MO,DeepHole,5/15/2014,8:45,PML,0,1.5,1,,14.9467254,0.596197863,0
20,15,MO,DeepHole,5/15/2014,8:45,PML,0,1.5,2,,16.28007965,NA,0
21,15,MO,DeepHole,5/15/2014,8:45,Hypo,5,5,1,,17.63505618,NA,0
22,15,MO,DeepHole,5/15/2014,8:45,Hypo,5,5,2,,17.98943227,NA,0
23,15,MO,Inlet1,5/15/2014,9:45,Surface,0,0,1,,10.62228218,0.523638623,0
24,15,MO,Inlet1,5/15/2014,9:45,Surface,0,0,2,,8.4360021,0.427010765,0
25,15,MO,Inlet2,5/15/2014,9:55,Surface,0,0,1,,20.43651471,NA,0
26,15,MO,Inlet2,5/15/2014,9:55,Surface,0,0,2,,20.05968135,0.761554093,0
27,15,MO,Inlet3,5/15/2014,10:10,Surface,0,0,1,,30.12616969,NA,0
28,15,MO,Inlet3,5/15/2014,10:10,Surface,0,0,2,,35.64098047,NA,0
29,15,CR,DeepHole,5/16/2014,8:55,PML,0,2.5,1,,5.156571708,NA,0
30,15,CR,DeepHole,5/16/2014,8:55,PML,0,2.5,2,,5.7285452,NA,0
31,15,CR,DeepHole,5/16/2014,8:55,Hypo,10,10,1,,4.899754108,NA,0
32,15,CR,DeepHole,5/16/2014,8:55,Hypo,10,10,2,,5.16893984,NA,0
33,15,HB,DeepHole,5/16/2014,10:25,PML,0,1,1,,18.81698042,NA,0
34,15,HB,DeepHole,5/16/2014,10:25,PML,0,1,2,,17.13781126,0.474742181,0
35,15,HB,DeepHole,5/16/2014,10:25,Hypo,5,5,1,,31.91515576,NA,0
36,15,HB,DeepHole,5/16/2014,10:25,Hypo,5,5,2,,30.02556766,NA,0
37,3,WL,DeepHole,5/21/2014,10:20,PML,0,2,1,,6.815538779,NA,0
