Project ID,Lake ID,Site,Date Sample ,Time Sample,Depth (m),temp,DO (mg/L),DO (%sat),SpCond (uS/cm),pH,ORP,PAR (uE/m2/s),Comments
3,EL,DeepHole,5/14/14,11:07,0,10.1,9.96,9.19,,,,2105,Deck PAR: 2666
3,EL,DeepHole,5/14/14,11:07,0.25,,,,,,,488.2,Staff gauge: 2.68 ft
3,EL,DeepHole,5/14/14,11:07,0.5,10,9.76,90.8,,,,244.6,EL Inlet Staff: 9.2 cm
3,EL,DeepHole,5/14/14,11:07,0.75,,,,,,,131.6,
3,EL,DeepHole,5/14/14,11:07,1,9.9,9.61,89.5,,,,52.08,
3,EL,DeepHole,5/14/14,11:07,1.5,9.9,9.32,86.5,,,,18.59,
3,EL,DeepHole,5/14/14,11:07,2,9.8,9.25,85.5,,,,2.91,
3,EL,DeepHole,5/14/14,11:07,2.5,8,7.14,63.1,,,,1.77,
3,EL,DeepHole,5/14/14,11:07,3,6.6,7.02,60.1,,,,0.81,
3,EL,DeepHole,5/14/14,11:07,3.5,6.2,6.83,57.9,,,,0.24,
3,EL,DeepHole,5/14/14,11:07,4,5.7,6.42,53.7,,,,,
3,EL,DeepHole,5/14/14,11:07,4.5,5.4,6.16,51.3,,,,,
3,EL,DeepHole,5/14/14,11:07,5,5.3,5.75,47.8,,,,,
3,EL,DeepHole,5/14/14,11:07,5.5,5.2,5.5,45.4,,,,,
3,EL,DeepHole,5/14/14,11:07,6,5,4.77,38.7,,,,,
3,EL,DeepHole,5/14/14,11:07,6.5,4.5,4.32,35,,,,,
3,EL,DeepHole,5/14/14,11:07,7,4.3,4.11,33.2,,,,,
3,EL,DeepHole,5/14/14,11:07,7.5,4.2,3.59,28.5,,,,,
3,EL,DeepHole,5/14/14,11:07,8,4.2,2.65,21,,,,,
3,EL,DeepHole,5/14/14,11:07,9,3.9,0.71,5.6,,,,,
3,EL,DeepHole,5/14/14,11:07,10,3.9,0.13,0.9,,,,,
3,WL,DeepHole,5/14/14,9:25,0,11,11.2,105.8,,,,1258.5,Deck PAR: 2245
3,WL,DeepHole,5/14/14,9:25,0.25,,,,,,,962.9,Staff gauge: 2.46 ft
3,WL,DeepHole,5/14/14,9:25,0.5,11,11,104.3,,,,611,
3,WL,DeepHole,5/14/14,9:25,0.75,,,,,,,359.3,
3,WL,DeepHole,5/14/14,9:25,1,10.6,11.12,105.3,,,,303.9,
3,WL,DeepHole,5/14/14,9:25,1.5,9.3,12.49,114.4,,,,177.87,
3,WL,DeepHole,5/14/14,9:25,2,7.8,10.48,93,,,,104.49,
3,WL,DeepHole,5/14/14,9:25,2.5,6.7,8.8,75.1,,,,34.45,
3,WL,DeepHole,5/14/14,9:25,3,6.1,8.08,68.4,,,,16.67,
3,WL,DeepHole,5/14/14,9:25,3.5,5.5,7.59,63.3,,,,10.12,
3,WL,DeepHole,5/14/14,9:25,4,5.1,7.17,59.1,,,,,
3,WL,DeepHole,5/14/14,9:25,4.5,4.8,6.49,53.2,,,,,
3,WL,DeepHole,5/14/14,9:25,5,4.6,5.05,41.3,,,,,
3,WL,DeepHole,5/14/14,9:25,5.5,4.4,3,24.1,,,,,
3,WL,DeepHole,5/14/14,9:25,6,4.3,2.22,17.8,,,,,
3,WL,DeepHole,5/14/14,9:25,6.5,4.3,1.67,13.4,,,,,
3,WL,DeepHole,5/14/14,9:25,7,4.2,0.39,3.1,,,,,
