"","lakeID","dateSample","depthClass","chl"
"33","EL","5/14/2014","PML",8.801969186
"34","WL","5/14/2014","PML",9.729531667
"35","EL","5/21/2014","PML",5.45110203
"36","WL","5/21/2014","PML",11.347731092
"37","EL","5/28/2014","PML",4.211522106
"38","WL","5/28/2014","PML",2.2450073365
"39","EL","6/11/2014","PML",2.8725826915
"40","WL","6/11/2014","PML",0.767703428
"41","EL","6/18/2014","PML",2.3439673425
"42","WL","6/18/2014","PML",1.3644837125
"43","EL","6/25/2014","PML",10.69068185
"44","WL","6/25/2014","PML",1.377782537
"45","WL","6/4/2014","PML",0.9441856175
"46","EL","7/16/2014","PML",8.374947331
"47","WL","7/16/2014","PML",2.013288302
"48","EL","7/2/2014","PML",3.1571121615
"49","WL","7/2/2014","PML",1.636374359
"50","EL","7/23/2014","PML",6.713199212
"51","WL","7/23/2014","PML",1.297151199
"52","EL","7/30/2014","PML",8.78241632
"53","WL","7/30/2014","PML",2.32147682971429
"54","EL","7/9/2014","PML",5.619361136
"55","WL","7/9/2014","PML",1.971906525
"56","EL","8/12/2014","PML",4.003491215
"57","WL","8/12/2014","PML",3.5404509125
"58","EL","8/20/2014","PML",3.5320761
"59","WL","8/20/2014","PML",3.7392885065
"60","EL","8/6/2014","PML",2.6918333775
"61","WL","8/6/2014","PML",3.482436667
"62","EL","9/26/2014","PML",4.332233784
"63","WL","9/26/2014","PML",5.4418764135
