"","lakeID","dateSample","depthClass","DOC"
"277","WL","05/17/2011","PML",7.515
"278","EL","05/25/2011","PML",7.97
"279","WL","05/25/2011","PML",8.7
"280","EL","06/01/2011","PML",9.585
"282","WL","06/01/2011","PML",10.615
"283","EL","06/08/2011","PML",8.965
"284","WL","06/08/2011","PML",8.845
"285","EL","06/15/2011","PML",8.045
"286","WL","06/15/2011","PML",8.765
"288","EL","06/22/2011","PML",7.875
"289","WL","06/22/2011","PML",7.55
"292","EL","06/29/2011","PML",12.99
"293","WL","06/29/2011","PML",8.675
"297","EL","07/06/2011","PML",6.085
"298","WL","07/06/2011","PML",5.63
"302","EL","07/13/2011","PML",5.395
"303","WL","07/13/2011","PML",5.49
"307","EL","07/20/2011","PML",5.8
"308","WL","07/20/2011","PML",6.85
"313","EL","07/27/2011","PML",6.215
"314","WL","07/27/2011","PML",8.31
"318","EL","08/03/2011","PML",5.925
"319","WL","08/03/2011","PML",6.97
"323","EL","08/10/2011","PML",9.13
"324","WL","08/10/2011","PML",11.32
"327","EL","08/17/2011","PML",7.19
"328","WL","08/17/2011","PML",11.045
"332","EL","09/21/2011","PML",7.5
"333","WL","09/21/2011","PML",8.02
"334","EL","05/16/2012","PML",8.59
"335","WL","05/16/2012","PML",7.71
"344","EL","05/23/2012","PML",8.735
"347","WL","05/23/2012","PML",7.925
"356","WL","05/30/2012","PML",7.4
"360","EL","06/06/2012","PML",6.205
"362","WL","06/06/2012","PML",7.575
"368","EL","06/13/2012","PML",8.425
"369","WL","06/13/2012","PML",7.685
"377","WL","06/19/2012","PML",7.24
"379","EL","06/20/2012","PML",7.43
"381","WL","06/20/2012","PML",6.325
"390","EL","06/27/2012","PML",8.335
"392","WL","06/27/2012","PML",6.57
"397","EL","07/04/2012","PML",9.39
"399","WL","07/04/2012","PML",10.19
"404","EL","07/11/2012","PML",11.325
"406","WL","07/11/2012","PML",8.58
"411","EL","07/18/2012","PML",8.905
"413","WL","07/18/2012","PML",7.92
"418","EL","07/25/2012","PML",8.21
"420","WL","07/25/2012","PML",8
"425","WL","07/30/2012","PML",7.59
"428","EL","08/01/2012","PML",7.43
"430","WL","08/01/2012","PML",7.825
"436","EL","08/08/2012","PML",7.35
"437","WL","08/08/2012","PML",7.04
"438","EL","08/15/2012","PML",7.79
"439","WL","08/15/2012","PML",9.09
"442","EL","09/16/2012","PML",7.26
"443","WL","09/16/2012","PML",7.385
"446","EL","05/15/2013","PML",9.68
"448","WL","05/15/2013","PML",6.705
"454","EL","05/22/2013","PML",11.415
"455","WL","05/22/2013","PML",7.025
"465","EL","05/29/2013","PML",10.37
"466","WL","05/29/2013","PML",6.13
"477","EL","06/05/2013","PML",10.845
"478","WL","06/05/2013","PML",6.435
"485","EL","06/12/2013","PML",11.82
"486","WL","06/12/2013","PML",6.385
"496","EL","06/19/2013","PML",11.56
"497","WL","06/19/2013","PML",7.24
"506","EL","06/26/2013","PML",11.135
"507","WL","06/26/2013","PML",6.09
"519","EL","07/03/2013","PML",10.27
"520","WL","07/03/2013","PML",4.865
"525","EL","07/10/2013","PML",12.87
"526","WL","07/10/2013","PML",7.895
"533","EL","07/17/2013","PML",9.78
"534","WL","07/17/2013","PML",8.67
"543","EL","07/25/2013","PML",10.985
"544","WL","07/25/2013","PML",7.39
"557","EL","07/31/2013","PML",10.265
"558","WL","07/31/2013","PML",8.315
"573","EL","08/06/2013","PML",12.165
"574","WL","08/06/2013","PML",6.315
"582","EL","08/14/2013","PML",5.535
"583","WL","08/14/2013","PML",6.83
"587","EL","09/14/2013","PML",9.97
"590","WL","09/14/2013","PML",2.44
"91","EL","05/14/2014","PML",11.443751065
"92","WL","05/14/2014","PML",5.813332971
"93","EL","05/21/2014","PML",10.76315254
"94","WL","05/21/2014","PML",5.9345429445
"95","EL","05/28/2014","PML",12.861175115
"96","WL","05/28/2014","PML",6.5741475625
"97","EL","06/11/2014","PML",10.96056103
"98","WL","06/11/2014","PML",6.8127363375
"99","EL","06/18/2014","PML",10.1529728085
"100","WL","06/18/2014","PML",6.413825445
"101","EL","06/25/2014","PML",10.58919785
"102","WL","06/25/2014","PML",6.8030423615
"103","EL","06/04/2014","PML",10.4209656
"104","WL","06/04/2014","PML",6.297792214
"105","EL","07/16/2014","PML",10.246044011
"106","WL","07/16/2014","PML",6.4102279725
"107","EL","07/02/2014","PML",11.416285885
"108","WL","07/02/2014","PML",7.718277082
"109","EL","07/23/2014","PML",9.0511035175
"110","WL","07/23/2014","PML",6.780678718
"111","EL","07/30/2014","PML",9.595875253
"112","WL","07/30/2014","PML",6.93441380875
"113","EL","07/09/2014","PML",10.722912815
"114","WL","07/09/2014","PML",5.882091781
"115","EL","08/12/2014","PML",9.725820786
"116","WL","08/12/2014","PML",6.453053593
"117","EL","08/20/2014","PML",10.557686836
"118","WL","08/20/2014","PML",6.223196473
"119","EL","08/06/2014","PML",9.29578517
"120","WL","08/06/2014","PML",7.175164386
"121","EL","09/26/2014","PML",12.01225568
"122","WL","09/26/2014","PML",5.73259753
