lakeID,datetime,NLL,iota,R,GPP,DO0,convergence,sd_iota,sd_R,sd_GPP,GPP.weighted,R.weighted,thermo.depth,GPP.weighted.areal,R.weighted.areal
WL,5/12/11,"Error in FUN(X[[i]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WL,5/13/11,-312.1154787,4.00299205,0.668392526,0.464905829,9.478427465,0,0.61583882,0.09595382,0.071523264,NA,NA,1.848996965,NA,NA
WL,5/14/11,-329.5693714,1.337191455,1.335575018,0.301939688,9.471659193,0,0.204963101,0.061150362,0.046280953,NA,NA,0.75,NA,NA
WL,5/15/11,-343.6394934,0.353114884,0.888121932,0.24685011,9.350948092,0,0.066624331,0.059944293,0.04657471,NA,NA,0.75,NA,NA
WL,5/16/11,-290.8385151,0.47826258,0.665254403,0.296865222,9.476259145,0,0.088591144,0.074038508,0.054989938,NA,NA,1.856723145,NA,NA
WL,5/17/11,-283.0732128,0.519835006,0.47092371,0.366033516,9.382837195,0,0.054156277,0.050196229,0.038133277,0.655674125,1.115895082,NA,NA,NA
WL,5/18/11,-304.6861913,1.698097935,0.504305854,0.666167358,9.411687938,0,0.135888614,0.068848564,0.053309386,0.68064033,1.166939915,1.961421088,1335.022298,2288.860557
WL,5/19/11,0.11140601,7.554250401,3.479568594,2.103470532,9.851986211,0,1.251448057,0.468798558,0.348463973,NA,NA,1.903659648,NA,NA
WL,5/20/11,-28.32298429,1.987857695,0.696566535,1.017658899,9.09845088,0,0.460904004,0.299850426,0.235954044,NA,NA,1.8771223,NA,NA
WL,5/21/11,21.35497874,3.04E-07,1.047099742,6.42E-08,9.186496423,0,0.762707201,0.243254789,0.160984715,NA,NA,1.861725726,NA,NA
WL,5/22/11,97.0815293,6.07E-06,1.407432203,2.97E-06,8.592436992,0,0.557571115,0.432537933,0.272615491,NA,NA,1.852615734,NA,NA
WL,5/23/11,"Error in FUN(X[[nexti]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.841670117,NA,NA
WL,5/24/11,-260.4533596,0.345594317,0.281905711,0.190413589,8.561963267,0,0.109923209,0.084903327,0.060564864,NA,NA,1.823525206,NA,NA
WL,5/25/11,-271.2015537,0.194120301,0.109433284,0.095407567,8.602735604,0,0.118378002,0.076434732,0.058181226,NA,NA,1.797310944,NA,NA
WL,5/26/11,-225.6954449,0.158491392,0.417344323,0.114028834,8.788429012,0,0.136994395,0.14299444,0.09856252,NA,NA,1.722087733,NA,NA
WL,5/27/11,-307.3877991,0.178922135,0.359710993,0.113283431,8.831562621,0,0.040715744,0.034234364,0.025778919,NA,NA,2.086336076,NA,NA
