"","lakeID","dateSample","depthClass","POC","particulateP.ugL","CP","year"
"1","EL","2012-09-16 0:00:00","PML",0.34,5.89,148.856474095124,"2012"
"2","EL","2012-09-16 0:00:00","Hypo",0.59,11.3,134.641107008841,"2012"
"3","WL","2012-09-16 0:00:00","PML",0.34,6.21,141.185931146583,"2012"
"4","WL","2012-09-16 0:00:00","Hypo",0.71,6.58,278.250889065975,"2012"
"5","EL","2012-05-16 0:00:00","PML",0.35,6.39,141.244417447804,"2012"
"6","EL","2011-06-01 0:00:00","Hypo",0.8,12.7,162.439024070455,"2011"
"7","WL","2011-06-01 0:00:00","Hypo",0.81,12.43,168.042059595009,"2011"
"8","WL","2011-06-01 0:00:00","PML",0.67,12.77,135.296951430648,"2011"
"9","EL","2011-06-01 0:00:00","PML",0.97,NA,NA,"2011"
"10","WL","2011-06-08 0:00:00","PML",0.69,12.54,141.891264745753,"2011"
"11","WL","2011-06-08 0:00:00","Hypo",0.9,NA,NA,"2011"
"12","EL","2011-06-08 0:00:00","PML",0.59,10.35,146.999469487913,"2011"
"13","EL","2011-06-08 0:00:00","Hypo",0.77,9.07,218.921060692528,"2011"
"14","EL","2011-07-06 0:00:00","Hypo",2.92,14.88,506.039043063572,"2011"
"15","WL","2011-07-06 0:00:00","Hypo",1.22,18.29,172.008627593469,"2011"
"16","EL","2011-07-06 0:00:00","PML",1.41,29.85,121.80886114027,"2011"
"17","WL","2011-07-06 0:00:00","PML",0.65,17.81,94.1138506247619,"2011"
"18","EL","2011-06-29 0:00:00","Hypo",0.63,14.85,109.400221514117,"2011"
"19","WL","2011-08-17 0:00:00","PML",0.72,12.58,147.589669723792,"2011"
"20","WL","2011-08-17 0:00:00","Hypo",1.07,25.17,109.623753381675,"2011"
"21","EL","2011-08-17 0:00:00","PML",0.71,12.58,145.53981319985,"2011"
"22","EL","2011-08-17 0:00:00","Hypo",1.05,19.29,140.365758552328,"2011"
"23","WL","2011-09-21 0:00:00","PML",0.56,12.86,112.292606841862,"2011"
"24","EL","2011-09-21 0:00:00","PML",0.49,13.92,90.7738906959808,"2011"
"25","EL","2011-09-21 0:00:00","Hypo",0.66,0,Inf,"2011"
"26","EL","2011-06-29 0:00:00","PML",2.14,41.86,131.831336484318,"2011"
"27","WL","2011-06-29 0:00:00","PML",1.61,37.49,110.742555520425,"2011"
"28","WL","2011-06-29 0:00:00","Hypo",3.69,30.99,307.049854187389,"2011"
"29","EL","2011-07-20 0:00:00","Hypo",1.63,18.05,232.870515047264,"2011"
"30","WL","2011-07-20 0:00:00","PML",0.96,13.06,189.553654428311,"2011"
"31","WL","2011-07-20 0:00:00","Hypo",1.72,18.67,237.568160270154,"2011"
"32","EL","2011-07-20 0:00:00","PML",1.25,10.17,316.951758495388,"2011"
"33","WL","2011-07-13 0:00:00","PML",0.99,11.58,220.460475997175,"2011"
"34","WL","2011-07-13 0:00:00","Hypo",1.58,20.53,198.459660070491,"2011"
"35","EL","2011-07-13 0:00:00","Hypo",1.17,11.37,265.356360890819,"2011"
"36","EL","2011-07-13 0:00:00","PML",0.98,8.76,288.486885499555,"2011"
"37","EL","2011-08-10 0:00:00","PML",1.12,9.65,299.291797717377,"2011"
"38","WL","2011-08-10 0:00:00","PML",0.95,13.06,187.579137194682,"2011"
"39","EL","2011-08-10 0:00:00","Hypo",1.5,16.77,230.654696522225,"2011"
"40","WL","2011-08-10 0:00:00","Hypo",1.69,16.16,269.680443504345,"2011"
"41","WL","2011-06-15 0:00:00","Hypo",1.21,14.3,218.199342910025,"2011"
"42","EL","2011-06-15 0:00:00","Hypo",1.15,12.95,228.998257388899,"2011"
"43","EL","2011-06-15 0:00:00","PML",0.96,9.14,270.850188931481,"2011"
"44","WL","2011-06-15 0:00:00","PML",0.94,14.5,167.172161151129,"2011"
"45","WL","2011-06-22 0:00:00","PML",0.83,12.82,166.95297901001,"2011"
"46","EL","2011-06-22 0:00:00","Hypo",0.93,11.44,209.63366622554,"2011"
"47","WL","2011-06-22 0:00:00","Hypo",0.6,15.57,99.3726206982071,"2011"
"48","WL","2011-05-25 0:00:00","Hypo",0.52,10.82,123.931066885546,"2011"
"49","EL","2011-05-25 0:00:00","Hypo",0.58,9.82,152.307262131234,"2011"
"50","EL","2011-05-25 0:00:00","PML",0.4,8.48,121.637712599928,"2011"
"51","WL","2011-05-17 0:00:00","PML",0.55,1.88,754.412621763384,"2011"
"52","WL","2011-05-25 0:00:00","PML",0.48,11.68,105.974774265143,"2011"
"53","WL","2011-05-17 0:00:00","Hypo",0.48,0,Inf,"2011"
"54","EL","2011-08-03 0:00:00","PML",0.44,0.75,1512.84877750951,"2011"
"55","EL","2011-08-03 0:00:00","Hypo",0.66,16.01,106.305738582023,"2011"
"56","WL","2011-08-03 0:00:00","Hypo",0.84,22.68,95.5081298932768,"2011"
"57","WL","2011-08-03 0:00:00","PML",0.68,12.24,143.262194839915,"2011"
"58","WL","2011-07-27 0:00:00","Hypo",0.67,23.52,73.4584213337321,"2011"
"59","EL","2011-07-27 0:00:00","PML",0.44,15.01,75.5920441793557,"2011"
"60","EL","2011-07-27 0:00:00","Hypo",0.73,18.82,100.024720520536,"2011"
"61","WL","2011-07-27 0:00:00","PML",0.41,18.01,58.704886058777,"2011"
"62","WL","2012-05-16 0:00:00","PML",0.49,6.41,197.125204132301,"2012"
"63","WL","2012-05-16 0:00:00","Hypo",0.77,15.1,131.497617250412,"2012"
"64","EL","2012-05-16 0:00:00","Hypo",0.66,11.08,153.606035622581,"2012"
"65","WL","2012-05-23 0:00:00","PML",0.47,6.53,185.604619961054,"2012"
"66","EL","2012-05-23 0:00:00","PML",0.63,6.12,265.456419850431,"2012"
"67","WL","2012-05-23 0:00:00","Hypo",0.89,15.33,149.71039539044,"2012"
"68","EL","2012-05-23 0:00:00","Hypo",0.92,12.81,185.200776467525,"2012"
"69","WL","2012-05-30 0:00:00","PML",0.61,7.02,224.076766288073,"2012"
"70","WL","2012-05-30 0:00:00","Hypo",0.77,16.08,123.483458985151,"2012"
"71","EL","2012-05-30 0:00:00","PML",1.11,4.86,588.966801008541,"2012"
"72","EL","2012-05-30 0:00:00","Hypo",0.99,14.77,172.845789576662,"2012"
"73","WL","2012-06-06 0:00:00","PML",0.53,7.47,182.961357265434,"2012"
"74","WL","2012-06-06 0:00:00","Hypo",0.83,14.83,144.324827438188,"2012"
"75","EL","2012-06-06 0:00:00","PML",0.62,4.49,356.08153550411,"2012"
"76","EL","2012-06-06 0:00:00","Hypo",0.94,18.86,128.525786675046,"2012"
"77","WL","2012-06-13 0:00:00","PML",0.3,5.45,141.947862777164,"2012"
"78","WL","2012-06-13 0:00:00","Hypo",0.67,11,157.067460888125,"2012"
"79","EL","2012-06-13 0:00:00","PML",0.29,3.95,189.323710649204,"2012"
"80","EL","2012-06-13 0:00:00","Hypo",1.82,17.34,270.661447690636,"2012"
"81","WL","2012-06-19 0:00:00","PML",0.54,6.8,204.780666741761,"2012"
"82","WL","2012-06-19 0:00:00","Hypo",0.68,23.17,75.6810213569514,"2012"
"83","WL","2012-06-20 0:00:00","PML",0.72,8.65,214.644860708127,"2012"
"84","WL","2012-06-20 0:00:00","Hypo",0.75,12.03,160.768049072224,"2012"
"85","EL","2012-06-20 0:00:00","PML",0.63,6.96,233.418576075379,"2012"
"86","EL","2012-06-20 0:00:00","Hypo",0.79,14.02,145.305878075863,"2012"
"87","WL","2012-06-27 0:00:00","PML",0.38,6.48,151.221205664355,"2012"
"88","EL","2012-06-27 0:00:00","PML",0.6,11.63,133.037979730962,"2012"
"89","WL","2012-06-27 0:00:00","Hypo",0.6,5.87,263.582913845159,"2012"
"90","EL","2012-06-27 0:00:00","Hypo",0.95,12.77,191.838960983755,"2012"
"91","WL","2012-07-04 0:00:00","PML",0.53,5.99,228.167168409481,"2012"
"92","WL","2012-07-04 0:00:00","Hypo",0.86,14,158.407055437278,"2012"
"93","EL","2012-07-04 0:00:00","PML",0.56,13.21,109.317405297982,"2012"
"94","EL","2012-07-04 0:00:00","Hypo",0.9,15.75,147.35540040677,"2012"
"95","WL","2012-07-11 0:00:00","PML",0.55,6.5,218.199342910025,"2012"
"96","WL","2012-07-11 0:00:00","Hypo",0.7,16.92,106.68461317866,"2012"
"97","EL","2012-07-11 0:00:00","PML",0.52,6.9,194.338281695885,"2012"
