"","lakeID","dateSample","depthClass","filterVol","sampleType","sampleAmount","POC","PON","flag","uniqueID","particulateP.ugL","Cmol","Nmol","Pmol","CP","CN","NP"
"1","EL","2012-09-16 0:00:00","PML",150,"filter","",0.34,0.02,0,"EL.2012-09-16 0:00:00.PML",5.89,4.24610773457664e-06,2.14178624973228e-07,2.85248442191586e-08,148.856474095124,19.8250770127383,7.5084941157847
"2","EL","2012-09-16 0:00:00","Hypo",150,"filter","",0.59,0.06,0,"EL.2012-09-16 0:00:00.Hypo",11.3,7.36824577470652e-06,6.42535874919683e-07,5.47250831369257e-08,134.641107008841,11.4674465073682,11.7411584978686
"3","WL","2012-09-16 0:00:00","PML",150,"filter","",0.34,0.02,0,"WL.2012-09-16 0:00:00.PML",6.21,4.24610773457664e-06,2.14178624973228e-07,3.0074581086753e-08,141.185931146583,19.8250770127383,7.12158298582478
"4","WL","2012-09-16 0:00:00","Hypo",150,"filter","",0.71,0.07,0,"WL.2012-09-16 0:00:00.Hypo",6.58,8.86687203396886e-06,7.49625187406297e-07,3.18664643399089e-08,278.250889065975,11.8284072933145,23.5239523095595
"5","EL","2012-05-16 0:00:00","PML",200,"filter","",0.35,0.03,0,"EL.2012-05-16 0:00:00.PML",6.39,5.82799100824245e-06,4.28357249946455e-07,4.12617440996997e-08,141.244417447804,13.605445008742,10.3814625215896
"26","EL","2011-06-01 0:00:00","Hypo",100,"filter","2.00",0.8,0.06,0,"EL.2011-06-01 0:00:00.Hypo",12.7,6.66056115227708e-06,4.28357249946455e-07,4.10034546217673e-08,162.439024070455,15.5490800099908,10.4468575610957
"28","WL","2011-06-01 0:00:00","Hypo",100,"filter","2.00",0.81,0.06,0,"WL.2011-06-01 0:00:00.Hypo",12.43,6.74381816668054e-06,4.28357249946455e-07,4.01317276337455e-08,168.042059595009,15.7434435101157,10.6737804526079
"30","WL","2011-06-01 0:00:00","PML",100,"filter","2.00",0.67,0.05,0,"WL.2011-06-01 0:00:00.PML",12.77,5.57821996503205e-06,3.56964374955379e-07,4.12294579149582e-08,135.296951430648,15.6268254100408,8.65799341072276
"32","EL","2011-06-01 0:00:00","PML",100,"filter","2.00",0.97,0.08,0,"EL.2011-06-01 0:00:00.PML",NA,8.07593039713596e-06,5.71142999928607e-07,NA,NA,14.1399446340854,NA
"34","WL","2011-06-08 0:00:00","PML",100,"filter","2.00",0.69,0.05,0,"WL.2011-06-08 0:00:00.PML",12.54,5.74473399383898e-06,3.56964374955379e-07,4.04868756659026e-08,141.891264745753,16.0932978103405,8.816792332929
"36","WL","2011-06-08 0:00:00","Hypo",100,"filter","2.00",0.9,0.07,0,"WL.2011-06-08 0:00:00.Hypo",NA,7.49313129631172e-06,4.99750124937531e-07,NA,NA,14.9937557239197,NA
"38","EL","2011-06-08 0:00:00","PML",100,"filter","2.00",0.59,0.04,0,"EL.2011-06-08 0:00:00.PML",10.35,4.91216384980435e-06,2.85571499964304e-07,3.34162012075033e-08,146.999469487913,17.2011697610524,8.54589958298974
"39","EL","2011-06-08 0:00:00","Hypo",100,"filter","2.00",0.77,0.05,0,"EL.2011-06-08 0:00:00.Hypo",9.07,6.41079010906669e-06,3.56964374955379e-07,2.9283569560585e-08,218.921060692528,17.9591874115394,12.1899201604112
"40","EL","2011-07-06 0:00:00","Hypo",100,"filter","2.00",2.92,0.06,0,"EL.2011-07-06 0:00:00.Hypo",14.88,2.43110482058113e-05,4.28357249946455e-07,4.80418428954251e-08,506.039043063572,56.7541420364666,8.91633676249433
"41","WL","2011-07-06 0:00:00","Hypo",100,"filter","2.00",1.22,0.1,0,"WL.2011-07-06 0:00:00.Hypo",18.29,1.01573557572225e-05,7.13928749910759e-07,5.90514318922933e-08,172.008627593469,14.2274082091416,12.0899481525347
"42","EL","2011-07-06 0:00:00","PML",100,"filter","1.00",1.41,0.09,0,"EL.2011-07-06 0:00:00.PML",29.85,1.17392390308884e-05,6.42535874919683e-07,9.63742614535241e-08,121.80886114027,18.2701690117392,6.66709000130229
"43","WL","2011-07-06 0:00:00","PML",100,"filter","2.00",0.65,0.05,0,"WL.2011-07-06 0:00:00.PML",17.81,5.41170593622513e-06,3.56964374955379e-07,5.75016950246989e-08,94.1138506247619,15.1603530097411,6.20789308562211
"44","EL","2011-06-29 0:00:00","Hypo",100,"filter","2.00",0.63,0.05,0,"EL.2011-06-29 0:00:00.Hypo",14.85,5.2451919074182e-06,3.56964374955379e-07,4.79449843412004e-08,109.400221514117,14.6938806094413,7.44529130336227
"45","WL","2011-08-17 0:00:00","PML",100,"filter","2.00",0.72,0.06,0,"WL.2011-08-17 0:00:00.PML",12.58,5.99450503704937e-06,4.28357249946455e-07,4.06160204048688e-08,147.589669723792,13.9941720089918,10.546509620502
"46","WL","2011-08-17 0:00:00","Hypo",100,"filter","2.00",1.07,0.1,0,"WL.2011-08-17 0:00:00.Hypo",25.17,8.90850054117059e-06,7.13928749910759e-07,8.12643269944791e-08,109.623753381675,12.4781367080177,8.78526625784106
"47","EL","2011-08-17 0:00:00","PML",100,"filter","2.00",0.71,0.07,0,"EL.2011-08-17 0:00:00.PML",12.58,5.91124802264591e-06,4.99750124937531e-07,4.06160204048688e-08,145.53981319985,11.8284072933145,12.304261223919
"48","EL","2011-08-17 0:00:00","Hypo",100,"filter","2.00",1.05,0.1,0,"EL.2011-08-17 0:00:00.Hypo",19.29,8.74198651236367e-06,7.13928749910759e-07,6.22800503664482e-08,140.365758552328,12.2449005078678,11.463201229127
"50","WL","2011-09-21 0:00:00","PML",120,"filter","2.00",0.56,0.04,0,"WL.2011-09-21 0:00:00.PML",12.86,5.59487136791275e-06,3.42685799957164e-07,4.98240402931586e-08,112.292606841862,16.3265340104904,6.87792073747619
"51","EL","2011-09-21 0:00:00","PML",120,"filter","2.00",0.49,0.04,0,"EL.2011-09-21 0:00:00.PML",13.92,4.89551244692365e-06,3.42685799957164e-07,5.39308429922836e-08,90.7738906959808,14.2857172591791,6.35417102614538
"52","EL","2011-09-21 0:00:00","Hypo",120,"filter","2.00",0.66,0.06,0,"EL.2011-09-21 0:00:00.Hypo",0,6.59395554075431e-06,5.14028699935746e-07,0,Inf,12.8279910082424,Inf
"73","EL","2011-06-29 0:00:00","PML",100,"filter","1.00",2.14,0.11,0,"EL.2011-06-29 0:00:00.PML",41.86,1.78170010823412e-05,7.85321624901835e-07,1.35149969328125e-07,131.831336484318,22.6875212873048,5.81074216151088
"74","WL","2011-06-29 0:00:00","PML",100,"filter","1.00",1.61,0.08,0,"WL.2011-06-29 0:00:00.PML",37.49,1.34043793189576e-05,5.71142999928607e-07,1.21040906596068e-07,110.742555520425,23.4693926400799,4.71859486177347
"75","WL","2011-06-29 0:00:00","Hypo",100,"filter","1.00",3.69,0.08,0,"WL.2011-06-29 0:00:00.Hypo",30.99,3.0721838314878e-05,5.71142999928607e-07,1.00054886514061e-07,307.049854187389,53.7900986595621,5.70829691409769
"76","EL","2011-07-20 0:00:00","Hypo",100,"filter","2.00",1.63,0.11,0,"EL.2011-07-20 0:00:00.Hypo",18.05,1.35708933477646e-05,7.85321624901835e-07,5.82765634584961e-08,232.870515047264,17.2806821020125,13.4757710183294
