"","lakeID","dateSample","depthClass","TP"
"5","WL","06/01/2011","PML",0
"6","EL","06/08/2011","PML",0
"8","WL","06/08/2011","PML",0
"10","EL","06/15/2011","PML",2.2
"12","WL","06/15/2011","PML",8.99
"22","WL","05/17/2011","PML",0
"24","EL","05/25/2011","PML",0
"26","WL","05/25/2011","PML",0
"34","WL","06/22/2011","PML",15.32
"37","EL","06/22/2011","PML",21.8
"44","WL","06/29/2011","PML",12.85
"46","EL","06/29/2011","PML",11.46
"60","WL","07/06/2011","PML",10.69
"62","EL","07/06/2011","PML",11.92
"67","EL","07/13/2011","PML",13.77
"69","WL","07/13/2011","PML",13.93
"74","WL","07/20/2011","PML",13.77
"75","EL","07/20/2011","PML",14.08
"81","EL","07/27/2011","PML",16.55
"82","WL","07/27/2011","PML",14.24
"88","WL","08/03/2011","PML",12.54
"91","EL","08/03/2011","PML",9.45
"103","EL","08/10/2011","PML",26.89
"105","WL","08/10/2011","PML",13.16
"110","WL","08/17/2011","PML",11.46
"112","EL","08/17/2011","PML",11.61
"116","EL","09/21/2011","PML",13
"119","WL","09/21/2011","PML",12.23
"122","WL","05/16/2012","PML",9.54
"126","EL","05/16/2012","PML",12.87
"129","EL","05/23/2012","PML",13.62
"132","WL","05/23/2012","PML",16.58
"134","EL","05/30/2012","PML",17.2
"139","WL","05/30/2012","PML",18.93
"169","WL","06/06/2012","PML",18.36
"171","EL","06/06/2012","PML",19.32
"195","WL","06/13/2012","PML",22.22
"197","EL","06/13/2012","PML",24.64
"223","WL","06/19/2012","PML",24.32
"226","EL","06/20/2012","PML",21.1
"231","WL","06/20/2012","PML",32.69
"259","EL","06/27/2012","PML",18.24
"260","WL","06/27/2012","PML",24.35
"285","WL","07/04/2012","PML",14.64
"310","EL","07/11/2012","PML",22.33
"311","WL","07/11/2012","PML",20.66
"334","WL","07/18/2012","PML",19.99
"339","EL","07/18/2012","PML",21.16
"360","WL","07/25/2012","PML",19.82
"362","EL","07/25/2012","PML",20.16
"372","WL","07/30/2012","PML",19.82
"376","WL","08/01/2012","PML",21.16
"380","EL","08/01/2012","PML",19.32
"387","WL","08/08/2012","PML",19.66
"389","EL","08/08/2012","PML",19.49
"391","WL","08/15/2012","PML",20.83
"394","EL","08/15/2012","PML",18.99
"399","EL","09/16/2012","PML",20.16
"400","WL","09/16/2012","PML",33.86
"425","EL","05/15/2013","PML",26.87
"429","WL","05/15/2013","PML",22.99
"447","EL","05/22/2013","PML",19.42
"450","WL","05/22/2013","PML",20.04
"474","EL","05/29/2013","PML",15.39
"477","WL","05/29/2013","PML",12.6
"500","EL","06/05/2013","PML",15.2
"503","WL","06/05/2013","PML",15.03
"519","EL","06/12/2013","PML",14.92
"522","WL","06/12/2013","PML",16.74
"540","EL","06/19/2013","PML",17.5
"543","WL","06/19/2013","PML",18.11
"556","EL","06/26/2013","PML",14.77
"559","WL","06/26/2013","PML",10.36
"578","EL","07/03/2013","PML",12.6
"581","WL","07/03/2013","PML",7.65
"594","EL","07/10/2013","PML",22.33
"597","WL","07/10/2013","PML",15.38
"610","EL","07/17/2013","PML",19.45
"613","WL","07/17/2013","PML",14.76
"627","EL","07/25/2013","PML",18.14
"643","EL","07/31/2013","PML",15.84
"646","WL","07/31/2013","PML",15.22
"673","EL","08/06/2013","PML",23.01
"676","WL","08/06/2013","PML",16.77
"695","EL","08/14/2013","PML",17.23
"698","WL","08/14/2013","PML",14.64
"707","EL","09/14/2013","PML",18.44
"717","WL","09/14/2013","PML",14.34
"726","WL","07/25/2013","PML",19.45
"51","WL","05/14/2014","PML",12.7788
"7","EL","05/14/2014","PML",15.4133
"19","WL","05/21/2014","PML",12.9957
"21","EL","05/21/2014","PML",19.08986
"47","WL","05/28/2014","PML",8.6138
"49","EL","05/28/2014","PML",13.6001
"58","WL","06/04/2014","PML",6.5838
"601","EL","06/04/2014","PML",9.9737
"881","WL","06/11/2014","PML",NA
"90","EL","06/11/2014","PML",10.2759
"113","WL","06/18/2014","PML",8.1605
"115","EL","06/18/2014","PML",11.4847
"148","WL","06/25/2014","PML",14.10071
"150","EL","06/25/2014","PML",10.1857
"1711","WL","07/02/2014","PML",6.30922
"173","EL","07/02/2014","PML",8.37635
"196","WL","07/09/2014","PML",6.72534
"198","EL","07/09/2014","PML",15.09165
"238","WL","07/16/2014","PML",10.31392
"240","EL","07/16/2014","PML",62.74546
"262","WL","07/23/2014","PML",3.74202
"264","EL","07/23/2014","PML",48.65756
"292","WL","07/30/2014","PML",23.07062
"294","WL","07/30/2014","PML",21.95748
"296","WL","07/30/2014","PML",16.23276
"298","WL","07/30/2014","PML",84.77038
"300","EL","07/30/2014","PML",11.23853
"333","WL","08/06/2014","PML",12.42575
"335","EL","08/06/2014","PML",9.8946
"354","WL","08/12/2014","PML",14.3382
"356","EL","08/12/2014","PML",18.9405
"365","WL","08/20/2014","PML",13.52068
"367","EL","08/20/2014","PML",42.02796
"4001","EL","09/26/2014","PML",16.7187
"404","WL","09/26/2014","PML",NA
