isotopeID,lakeID,dateSample,taxa,flag
Z-0141,WL,06/11/2012,holopedium,0
Z-0142,WL,06/11/2012,daphnia,0
Z-0143,WL,06/11/2012,copepods,0
Z-0144,RE,06/12/2012,copepods,0
Z-0145,RB,06/12/2012,daphnia,0
Z-0146,RB,06/12/2012,copepods,0
Z-0147,RB,06/12/2012,holopedium,0
Z-0148,CR,06/13/2012,zoops,0
Z-0149,IN,06/14/2012,zoops,0
Z-0150,HB,06/14/2012,copepods,0
Z-0151,BA,06/15/2012,holopedium,0
Z-0152,BA,06/15/2012,daphnia,0
Z-0153,RB,06/25/2012,daphnia,0
Z-0154,RB,06/25/2012,copepods,0
Z-0155,BA,06/26/2012,daphnia,0
Z-0156,BA,06/26/2012,holopedium,0
Z-0157,WL,06/26/2012,daphnia,0
Z-0158,WL,06/26/2012,holopedium,0
Z-0159,WL,06/26/2012,chaoborus,0
Z-0160,BR,06/27/2012,daphnia,0
Z-0161,IN,06/28/2012,daphnia,0
Z-0162,HB,06/29/2012,copepods,0
Z-0163,RE,06/29/2012,copepods,0
Z-0164,MO,07/06/2012,zoops,0
Z-0165,RB,07/06/2012,daphnia,0
Z-0166,RB,07/06/2012,holopedium,0
Z-0167,RB,07/06/2012,copepods,0
Z-0168,BA,07/09/2012,holopedium,0
Z-0169,IN,07/10/2012,copepods,0
Z-0170,HB,07/10/2012,zoops,0
Z-0171,RE,07/11/2012,copepods,0
Z-0172,WL,07/11/2012,daphnia,0
Z-0173,WL,07/11/2012,holopedium,0
Z-0174,CR,07/12/2012,copepods,0
Z-0175,BR,07/12/2012,daphnia,0
Z-0176,MO,07/16/2012,zoops,0
Z-0177,RB,07/16/2012,daphnia,0
Z-0178,RB,07/16/2012,copepods,0
Z-0179,IN,07/17/2012,zoops,0
Z-0180,BA,07/17/2012,holopedium,0
Z-0181,WL,07/18/2012,daphnia,0
Z-0182,WL,07/18/2012,holopedium,0
Z-0183,WL,07/18/2012,chaoborus,0
Z-0184,BE,07/18/2012,holopedium,0
Z-0185,BE,07/18/2012,copepods,0
Z-0186,BR,07/19/2012,daphnia,0
Z-0187,CR,07/19/2012,holopedium,0
Z-0188,CR,07/19/2012,copepods,0
Z-0189,HB,07/20/2012,copepods,0
Z-0190,RE,07/20/2012,copepods,0
Z-0191,RB,07/23/2012,daphnia,0
Z-0192,RB,07/23/2012,copepods,0
