lakeID,dateSample,taxa,d13C,d15N
EL,6/11/12,copepods,-32.62,4.13
EL,6/26/12,copepods,-31.89,3.58
EL,7/11/12,copepods,-32.08,4.31
EL,7/18/12,copepods,-33.96,4.39
EL,7/25/12,copepods,-30.12,4.67
EL,6/11/12,daphnia,-32.52,3.11
EL,6/26/12,daphnia,-32.24,2.99
EL,7/11/12,daphnia,-31.94,2.18
EL,7/18/12,daphnia,-32.17,3.85
EL,7/25/12,daphnia,-33.99,2.53
EL,6/11/12,holopedium,-34.86,5.21
EL,6/26/12,holopedium,-34.97,5.72
EL,7/11/12,holopedium,-34.34,4.82
EL,7/18/12,holopedium,-34.08,4.31
EL,7/25/12,holopedium,-35,4.51
EL,6/11/12,chaoborus,-34.57,7.39
EL,6/26/12,chaoborus,-33.2,7.3
EL,7/11/12,chaoborus,-32.27,4.92
EL,7/18/12,chaoborus,-32.61,6.74
EL,7/25/12,chaoborus,-33.3,6.67
