Project ID,Isotope ID,Date time,Lake ID,Tow type ,Depth (m),Taxa,Sample metadataID,Comments 
16,Z-0221,5/20/13 11:00,BA,vertical,7,all zoops,,
16,Z-0222,5/21/13 13:00,BR,vertical,1.5,all zoops,,
16,Z-0223,5/22/13 11:30,WL,vertical,4,chaoborus,,
16,Z-0224,5/22/13 11:30,EL,vertical,5,chaoborus,,
16,Z-0225,5/22/13 11:30,EL,vertical,5,all zoops,,
16,Z-0226,5/23/13 11:30,RB,vertical,3,all zoops,,
16,Z-0227,5/24/13 11:30,HB,horizontal,1.5,all zoops,,
16,Z-0228,5/28/13 12:30,TU,vertical,10,chaoborus,,
16,Z-0229,5/28/13 12:30,TU,vertical,10,all zoops,,may not be enough biomass
16,Z-0230,5/29/13 11:00,DW,horizontal,0.5,all zoops,,
16,Z-0231,5/30/13 11:00,CB,vertical,1.5,all zoops,,
16,Z-0232,5/30/13 11:00,CB,vertical,3,chaoborus,,
16,Z-0233,5/31/13 11:30,RE,vertical,1.5,all zoops,,
16,Z-0234,6/3/13 12:00,BA,schindler,4,all zoops,,Hypo
16,Z-0235,6/3/13 12:00,BA,vertical,1.5,all zoops,,PML
16,Z-0236,6/4/13 11:00,BR,schindler,3,all zoops,,Hypo
16,Z-0237,6/4/13 11:00,BR,vertical,1.5,all zoops,,PML
3,Z-0238,6/5/13 12:00,WL,vertical,1.5,all zoops,,
3,Z-0239,6/5/13 12:00,WL,vertical,10,chaoborus,,
3,Z-0240,6/5/13 12:00,EL,vertical,1.5,all zoops,,
3,Z-0241,6/5/13 12:00,EL,vertical,9,chaoborus,,
16,Z-0242,6/6/13 12:30,RB,vertical,2,all zoops,,PML
16,Z-0243,6/6/13 12:30,RB,schindler,4.5,all zoops,,Hypo
16,Z-0244,6/10/13 13:30,TU,vertical,0.5,all zoops,,PML
16,Z-0245,6/10/13 13:30,TU,schindler,4.5,all zoops,,Hypo
16,Z-0246,6/10/13 13:30,TU,schindler,6.5,chaoborus,,
16,Z-0247,6/11/13 11:00,DW,vertical,1,all zoops,,PML
16,Z-0248,6/11/13 11:00,DW,schindler,5,all zoops,,Hypo
3,Z-0249,6/12/13 9:00,EL,vertical,2,all zoops,,
3,Z-0250,6/12/13 9:00,WL,vertical,2,all zoops,,
16,Z-0251,6/12/13 11:30,CB,schindler,4,all zoops,,Hypo
16,Z-0252,6/12/13 11:30,CB,vertical,1,all zoops,,PML
16,Z-0253,6/12/13 11:30,CB,schindler,4,chaoborus,,
16,Z-0254,6/12/13 13:00,RS,vertical,1,all zoops,,PML
16,Z-0255,6/14/13 11:30,RE,vertical,0.5,all zoops,,PML
16,Z-0256,5/14/13 8:30,CR,vertical,5,total zoops,,
16,Z-0257,5/14/13 8:30,WL,vertical,10,chaoborus,,
16,Z-0258,6/14/13 11:30,RE,schindler,4,all zoops,,
16,Z-0259,6/17/13 11:30,BA,vertical,1.5,all zoops,,
16,Z-0260,6/17/13 11:30,BA,schindler,5,all zoops,,
16,Z-0261,6/18/13 11:30,BR,vertical,2,all zoops,,
16,Z-0262,6/18/13 11:30,BR,schindler,3,all zoops,,
16,Z-0263,6/19/13 11:00,WL,vertical,1.5,all zoops,,
16,Z-0264,6/19/13 11:00,WL,schindler,3.5,all zoops,,
16,Z-0265,6/19/13 11:00,EL,vertical,3.5,all zoops,,
16,Z-0266,6/20/13 14:00,RB,vertical,0-1.5,all zoops,,
16,Z-0267,6/20/13 14:00,RB,schindler,3,all zoops,,
16,Z-0268,6/21/13 11:00,HB,vertical,0-3,all zoops,,
16,Z-0269,6/24/13 12:30,TU,vertical,0-10,all zoops,,
16,Z-0270,6/24/13 12:30,TU,vertical,0-10,chaoborus,,
16,Z-0271,6/25/13 12:15,DW,vertical,0-1,all zoops,,
16,Z-0272,6/25/13 12:15,DW,schindler,4,all zoops,,
3,Z-0273,6/26/13 9:00,WL,vertical,0-10,all zoops,,
3,Z-0274,6/26/13 10:05,EL,vertical,0-10,all zoops,,
16,Z-0275,6/26/13 13:00,CB,vertical,0-0.5,all zoops,,
16,Z-0276,6/26/13 13:00,CB,schindler,3,all zoops,,
16,Z-0277,6/27/13 14:30,RE,vertical,0-0.5,all zoops,,
16,Z-0278,6/27/13 14:30,RE,schindler,2.5,all zoops,,
16,Z-0279,6/28/13 12:00,RS,vertical,0-1,all zoops,,
16,Z-0280,6/28/13 12:00,RS,schindler,3.5,all zoops,,
16,Z-0281,7/8/13 11:30,BA,vertical,0-2,all zoops,,
16,Z-0282,7/8/13 11:30,BA,schindler,5,all zoops,,
16,Z-0283,7/9/13 11:00,BR,vertical,0-1,all zoops,,
16,Z-0284,7/9/13 11:00,BR,schindler,4,all zoops,,
16,Z-0285,7/10/13 11:30,WL,vertical,0-1.5,all zoops,,
16,Z-0286,7/10/13 11:30,WL,schindler,3.5,all zoops,,
16,Z-0287,7/10/13 11:30,WL,vertical,0-10,chaoborus,,
3,Z-0288,7/10/13 12:30,EL,vertical,0-10,all zoops,,
3,Z-0289,7/10/13 12:30,EL,vertical,0-10,chaoborus,,
16,Z-0290,7/11/13 10:00,RB,vertical,0-2,all zoops,,
16,Z-0291,7/11/13 10:00,RB,schindler,3.5,all zoops,,
16,Z-0292,7/11/13 11:30,HB,vertical,0-0.5,all zoops,,
16,Z-0293,7/11/13 11:30,HB,schindler,3,chaoborus,,
16,Z-0294,7/15/13 13:00,TU,vertical,0-3.5,all zoops,,
16,Z-0295,7/16/13 12:00,DW,vertical,0-0.5,all zoops,,
16,Z-0296,7/16/13 12:00,DW,schindler,4.5,all zoops,,
16,Z-0297,7/17/13 14:00,CB,vertical,0-5.5,all zoops,,
16,Z-0298,7/17/13 14:00,CB,vertical,0-5.5,chaoborus,,
16,Z-0299,7/18/13 12:15,RS,vertical,0-1,all zoops,,
16,Z-0300,7/19/13 13:00,RE,vertical,0-0.5,all zoops,,
16,Z-0301,7/19/13 13:00,RE,schindler,3,all zoops,,
16,Z-0302,7/22/13 11:30,BA,vertical,0-2,all zoops,,
16,Z-0303,7/22/13 11:30,BA,schindler,5,all zoops,,
16,Z-0304,7/23/13 11:15,BR,vertical,0-4,chaoborus,,
16,Z-0305,7/24/13 11:15,RB,vertical,0-2,all zoops,,
16,Z-0306,7/24/13 11:15,RB,schindler,4,all zoops,,
3,Z-0307,7/25/13 10:40,WL,vertical,0-3,daphnia,,
3,Z-0308,7/25/13 10:40,WL,vertical,0-3,chaoborus,,
3,Z-0309,7/25/13 12:40,EL,vertical,0-3,daphnia,,
16,Z-0310,7/26/13 11:30,HB,vertical,0-1,all zoops,,
16,Z-0311,7/26/13 11:30,HB,schindler,3.5,chaoborus,,
16,Z-0312,7/29/13 11:00,RE,vertical,0-0.5,all zoops,,
16,Z-0313,7/29/13 11:00,RE,schindler,3,all zoops,,
16,Z-0314,7/30/13 13:30,TU,vertical,0-6,all pelagic,,
16,Z-0315,7/30/13 13:30,TU,vertical,0-6,all zoops,,
16,Z-0316,7/31/13 11:00,CB,vertical,0-0.5,all zoops,,
16,Z-0317,7/31/13 11:00,CB,schindler,4,all zoops,,
16,Z-0318,7/31/13 11:00,CB,schindler,4,chaoborus,,
