Proj ID,Isotope ID,Lake ID,Site,Date Sample,Time Sample,Tow type ,Depth Top (m),Depth Bot (m),Taxa,Comments 
,Z-0343,EL,,6/4/2014,11:00,horizontal,1.5,,Copepods,
,Z-0344,EL,,6/4/2014,11:00,horizontal,1.5,,Daphnia,
,Z-0345,EL,,6/4/2014,11:00,horizontal,1.5,,Holopedium,
,Z-0346,WL,,6/4/2014,9:30,horizontal,1.5,,Copepods,
,Z-0347,WL,,6/4/2014,9:30,horizontal,1.5,,Daphnia,
,Z-0348,WL,,6/4/2014,9:30,horizontal,1.5,,Holopedium,
,Z-0349,WL,,6/18/2014,9:20,horizontal,1.5,,Chaoborus,
,Z-0350,WL,,6/18/2014,9:20,horizontal,1.5,,Daphnia,
,Z-0351,WL,,6/18/2014,9:20,horizontal,1.5,,Holopedium,
,Z-0352,EL,,6/18/2014,10:30,horizontal,1.5,,Chaoborus,
,Z-0353,EL,,6/18/2014,10:30,horizontal,1.5,,Daphnia,
,Z-0354,EL,,6/18/2014,10:30,horizontal,1.5,,Holopedium,
,Z-0355,75% CF,,6/29/2014,,,,,Daphnia,Bottle exp
,Z-0356,75% CF,,6/29/2014,,,,,Daphnia,Bottle exp
,Z-0357,25x,,7/16/2014,11:00,,,,Chaoborus,SC RO exp
,Z-0358,1x,,7/16/2014,11:00,,,,Chaoborus,SC RO exp
,Z-0359,5x,,7/16/2014,11:00,,,,Chaoborus,SC RO exp
,Z-0360,EL,,7/17/2014,15:00,horizontal,1.5,,Daphnia,
,Z-0361,EL,,7/17/2014,15:00,horizontal,1.5,,Holopedium,
,Z-0362,EL,,7/17/2014,15:00,horizontal,1.5,,Chaoborus,
,Z-0363,EL,,7/17/2014,15:00,horizontal,1.5,,Copepods,
,Z-0364,WL,,7/17/2014,15:00,horizontal,1.5,,Daphnia,
,Z-0365,WL,,7/17/2014,15:00,horizontal,1.5,,Holopedium,
,Z-0366,WL,,7/17/2014,15:00,horizontal,1.5,,Chaoborus,
,Z-0367,WL,,7/21/2014,10:30,horizontal,1.5,,Daphnia,
,Z-0368,WL,,7/21/2014,10:30,horizontal,1.5,,Zoops,
,Z-0369,EL,,7/21/2014,11:00,horizontal,1.5,,Daphnia,
,Z-0370,EL,,7/21/2014,11:00,horizontal,1.5,,Chaoborus,
,Z-0371,,,,,,,,,
,Z-0372,,,,,,,,,
,Z-0373,,,,,,,,,
,Z-0374,,,,,,,,,
,Z-0375,,,,,,,,,
,Z-0376,,,,,,,,,
,Z-0377,,,,,,,,,
,Z-0378,,,,,,,,,
,Z-0379,,,,,,,,,
,Z-0380,,,,,,,,,
,Z-0381,,,,,,,,,
,Z-0382,,,,,,,,,
,Z-0383,,,,,,,,,
,Z-0384,,,,,,,,,
,Z-0385,,,,,,,,,
,Z-0386,,,,,,,,,
,Z-0387,,,,,,,,,
,Z-0388,,,,,,,,,
,Z-0389,,,,,,,,,
,Z-0390,,,,,,,,,
,Z-0391,,,,,,,,,
,Z-0392,,,,,,,,,
,Z-0393,,,,,,,,,
,Z-0394,,,,,,,,,
,Z-0395,,,,,,,,,
,Z-0396,,,,,,,,,
,Z-0397,,,,,,,,,
,Z-0398,,,,,,,,,
,Z-0399,,,,,,,,,
,Z-0400,,,,,,,,,
,Z-0401,,,,,,,,,
,Z-0402,,,,,,,,,
,Z-0403,,,,,,,,,
,Z-0404,,,,,,,,,
,Z-0405,,,,,,,,,
,Z-0406,,,,,,,,,
,Z-0407,,,,,,,,,
,Z-0408,,,,,,,,,
,Z-0409,,,,,,,,,
,Z-0410,,,,,,,,,
,Z-0411,,,,,,,,,
,Z-0412,,,,,,,,,
,Z-0413,,,,,,,,,
,Z-0414,,,,,,,,,
,Z-0415,,,,,,,,,
,Z-0416,,,,,,,,,
,Z-0417,,,,,,,,,
,Z-0418,,,,,,,,,
,Z-0419,,,,,,,,,
,Z-0420,,,,,,,,,
,Z-0421,,,,,,,,,
,Z-0422,,,,,,,,,
,Z-0423,,,,,,,,,
,Z-0424,,,,,,,,,
,Z-0425,,,,,,,,,
,Z-0426,,,,,,,,,
,Z-0427,,,,,,,,,
,Z-0428,,,,,,,,,
,Z-0429,,,,,,,,,
,Z-0430,,,,,,,,,
,Z-0431,,,,,,,,,
,Z-0432,,,,,,,,,
,Z-0433,,,,,,,,,
,Z-0434,,,,,,,,,
,Z-0435,,,,,,,,,
,Z-0436,,,,,,,,,
,Z-0437,,,,,,,,,
,Z-0438,,,,,,,,,
,Z-0439,,,,,,,,,
,Z-0440,,,,,,,,,
,Z-0441,,,,,,,,,
,Z-0442,,,,,,,,,
,Z-0443,,,,,,,,,
,Z-0444,,,,,,,,,
,Z-0445,,,,,,,,,
,Z-0446,,,,,,,,,
,Z-0447,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
