ID1,ID2,Comment,Area.All.N,Ampl.N.28,Area.N.28,d15N,%N,Area.All.C,Area.C.44,%C,Ampl.C.45,Ampl.C.46,Area.C.46,d13C
Z0257,#N/A,#N/A,7.247,946,7.191,7.095,8.6567642,16.182,15.929,38.1593665,1271,1576,0.069,-34.031
Z0286,#N/A,#N/A,2.629,331,2.609,3.494,7.2218071,7.596,7.477,41.8452429,596,740,0.032,-33.228
Z0340,#N/A,#N/A,7.176,945,7.121,3.454,11.4505621,15.24,15.001,48.0544467,1202,1486,0.065,-31.826
Z0224,#N/A,#N/A,9.227,1224,9.156,6.45,10.0756338,23.689,23.319,50.5290583,1864,2303,0.1,-34.501
Z0341,#N/A,#N/A,3.986,507,3.955,3.167,7.0989733,10.726,10.558,38.1177036,844,1049,0.046,-33.438
Z0342,#N/A,#N/A,4.177,541,4.145,4.567,8.8038053,10.962,10.79,46.0728796,865,1073,0.047,-34.148
Z0239,#N/A,#N/A,4.887,640,4.85,5.079,9.5948071,11.515,11.334,45.0053557,914,1133,0.049,-33.049
Z0285,#N/A,#N/A,3.194,406,3.17,1.38,7.3881837,8.426,8.294,39.0243481,667,828,0.036,-32.313
Z0309,#N/A,#N/A,3.889,496,3.859,2.404,6.7488567,12.201,12.01,42.1919475,962,1193,0.052,-32.869
Z0249,#N/A,#N/A,6.225,811,6.177,5.802,7.6225618,17.794,17.515,43.0204131,1400,1730,0.076,-31.449
Z0287,#N/A,#N/A,4.982,650,4.944,4.329,10.3796511,10.178,10.019,42.2662752,805,999,0.043,-32.302
Z0241,#N/A,#N/A,6.202,811,6.154,5.403,9.7101281,14.155,13.934,43.9161532,1117,1384,0.06,-31.653
Z0225,#N/A,#N/A,8.188,1077,8.126,4.051,10.5140612,17.26,16.989,43.6393195,1360,1681,0.073,-30.406
Z0274,#N/A,#N/A,2.889,368,2.867,1.529,7.1869848,8.433,8.301,42.0319005,666,828,0.036,-32.675
Z0288,#N/A,#N/A,4.969,643,4.932,1.844,9.1647118,11.673,11.49,42.8439891,923,1143,0.05,-30.484
Z0240,#N/A,#N/A,3.933,493,3.903,3.62,6.6287833,12.512,12.315,42.0057504,979,1211,0.053,-29.186
Z0307,#N/A,#N/A,3.413,430,3.387,5.438,7.3549154,8.957,8.817,38.6152273,704,875,0.038,-31.768
Z0264,#N/A,#N/A,4.231,544,4.199,3.355,6.5661526,14.188,13.966,43.7660894,1113,1380,0.06,-32.973
Z0265,#N/A,#N/A,7.623,961,7.565,4.156,7.8068761,19.571,19.264,39.4098338,1523,1881,0.083,-30.491
Z0283,#N/A,#N/A,6.211,806,6.163,4.922,7.7324621,19.142,18.842,46.9891021,1494,1846,0.081,-31.821
Z0255,#N/A,#N/A,10.014,1289,9.937,4.086,8.7940145,25.085,24.693,42.9179913,1937,2395,0.106,-34.409
Z0339,#N/A,#N/A,7.941,1017,7.88,3.435,8.5968526,21.552,21.214,45.7653329,1674,2072,0.092,-32.641
Z0267,#N/A,#N/A,7.949,1032,7.888,4.147,7.841975,25.332,24.935,48.836456,1969,2430,0.108,-30.817
Z0272,#N/A,#N/A,6.071,754,6.025,1.38,6.9360006,17.875,17.595,40.3238431,1389,1717,0.076,-29.988
Z0242,#N/A,#N/A,7.78,1002,7.72,4.737,7.3470757,26.956,26.534,49.6793852,2083,2568,0.114,-31.127
Z0258,#N/A,#N/A,4.207,533,4.175,0.861,7.3205666,13.084,12.879,45.3027607,1018,1268,0.056,-34.938
Z0232,#N/A,#N/A,11.03,1426,10.946,1.01,9.9125903,25.904,25.499,45.2449279,1995,2464,0.11,-32.862
Z0282,#N/A,#N/A,4.804,605,4.767,3.417,7.0858937,12.176,11.985,35.7350246,949,1176,0.052,-28.763
Z0305,#N/A,#N/A,5.445,695,5.403,5.734,8.7319029,13.333,13.123,42.449793,1043,1291,0.057,-29.159
Z0316,#N/A,#N/A,7.97,1015,7.909,3.195,8.8609641,18.959,18.662,41.4531989,1467,1817,0.081,-33.149
